,月日,黄経差,月齢,こよみ,気象庁,MIRC
79,3/21,105.27,9.3,小潮,小潮,長潮
80,3/22,116.39,10.3,長潮,長潮,若潮
81,3/23,127.77,11.3,若潮,若潮,中潮
82,3/24,139.46,12.3,中潮,中潮,中潮
83,3/25,151.48,13.3,中潮,中潮,中潮
84,3/26,163.85,14.3,大潮,中潮,大潮
85,3/27,176.54,15.3,大潮,大潮,大潮
86,3/28,189.5,16.3,大潮,大潮,大潮
87,3/29,202.66,17.3,大潮,大潮,大潮
88,3/30,215.96,18.3,中潮,大潮,中潮
89,3/31,229.31,19.3,中潮,中潮,中潮
90,4/1,242.65,20.3,中潮,中潮,中潮
91,4/2,255.93,21.3,中潮,小潮,小潮
92,4/3,269.12,22.3,小潮,小潮,小潮
93,4/4,282.18,23.3,小潮,小潮,小潮
94,4/5,295.1,24.3,小潮,長潮,若潮
95,4/6,307.85,25.3,長潮,若潮,中潮
96,4/7,320.42,26.3,若潮,中潮,中潮
97,4/8,332.77,27.3,中潮,中潮,中潮
98,4/9,344.9,28.3,中潮,中潮,大潮
99,4/10,356.78,29.3,大潮,大潮,大潮
100,4/11,8.42,0.73,大潮,大潮,大潮
101,4/12,19.83,1.73,大潮,大潮,大潮
102,4/13,31.02,2.73,大潮,大潮,中潮
103,4/14,42.05,3.73,中潮,中潮,中潮
104,4/15,52.95,4.73,中潮,中潮,中潮
105,4/16,63.8,5.73,中潮,中潮,中潮
106,4/17,74.66,6.73,中潮,小潮,小潮
107,4/18,85.61,7.73,小潮,小潮,小潮
108,4/19,96.74,8.73,小潮,小潮,小潮
109,4/20,108.12,9.73,小潮,長潮,長潮
110,4/21,119.82,10.73,長潮,長潮,若潮
111,4/22,131.89,11.73,若潮,若潮,中潮
112,4/23,144.36,12.73,中潮,中潮,中潮
113,4/24,157.23,13.73,中潮,中潮,中潮
114,4/25,170.47,14.73,大潮,大潮,大潮
115,4/26,184.0,15.73,大潮,大潮,大潮
116,4/27,197.73,16.73,大潮,大潮,大潮
117,4/28,211.54,17.73,大潮,大潮,中潮
118,4/29,225.32,18.73,中潮,中潮,中潮
119,4/30,238.96,19.73,中潮,中潮,中潮
120,5/1,252.39,20.73,中潮,小潮,小潮
121,5/2,265.55,21.73,中潮,小潮,小潮
122,5/3,278.42,22.73,小潮,小潮,小潮
123,5/4,290.99,23.73,小潮,長潮,長潮
124,5/5,303.27,24.73,小潮,若潮,若潮
125,5/6,315.29,25.73,長潮,中潮,中潮
126,5/7,327.06,26.73,若潮,中潮,中潮
127,5/8,338.62,27.73,中潮,中潮,中潮
128,5/9,349.98,28.73,中潮,大潮,大潮
129,5/10,1.17,0.11,大潮,大潮,大潮
130,5/11,12.23,1.11,大潮,大潮,大潮
131,5/12,23.18,2.11,大潮,大潮,大潮
132,5/13,34.05,3.11,中潮,大潮,中潮
133,5/14,44.91,4.11,中潮,中潮,中潮
134,5/15,55.79,5.11,中潮,中潮,中潮
135,5/16,66.77,6.11,中潮,中潮,中潮
136,5/17,77.89,7.11,小潮,小潮,小潮
137,5/18,89.25,8.11,小潮,小潮,小潮
138,5/19,100.89,9.11,小潮,小潮,小潮
139,5/20,112.91,10.11,長潮,長潮,長潮
140,5/21,125.33,11.11,若潮,若潮,若潮
141,5/22,138.2,12.11,中潮,中潮,中潮
142,5/23,151.5,13.11,中潮,中潮,中潮
143,5/24,165.19,14.11,大潮,中潮,大潮
144,5/25,179.17,15.11,大潮,大潮,大潮
145,5/26,193.32,16.11,大潮,大潮,大潮
146,5/27,207.48,17.11,大潮,大潮,大潮
147,5/28,221.49,18.11,中潮,中潮,中潮
148,5/29,235.24,19.11,中潮,中潮,中潮
149,5/30,248.62,20.11,中潮,中潮,小潮
150,5/31,261.6,21.11,中潮,小潮,小潮
151,6/1,274.16,22.11,小潮,小潮,小潮
152,6/2,286.33,23.11,小潮,小潮,長潮
153,6/3,298.17,24.11,小潮,長潮,若潮
154,6/4,309.71,25.11,長潮,若潮,中潮
155,6/5,321.03,26.11,若潮,中潮,中潮
156,6/6,332.18,27.11,中潮,中潮,中潮
157,6/7,343.2,28.11,中潮,中潮,大潮
158,6/8,354.13,29.11,大潮,大潮,大潮
159,6/9,5.01,0.46,大潮,大潮,大潮
160,6/10,15.88,1.46,大潮,大潮,大潮
161,6/11,26.76,2.46,大潮,大潮,大潮
162,6/12,37.7,3.46,中潮,中潮,中潮
163,6/13,48.73,4.46,中潮,中潮,中潮
164,6/14,59.9,5.46,中潮,中潮,中潮
165,6/15,71.26,6.46,中潮,中潮,小潮
166,6/16,82.88,7.46,小潮,小潮,小潮
167,6/17,94.82,8.46,小潮,小潮,小潮
168,6/18,107.13,9.46,小潮,小潮,長潮
169,6/19,119.87,10.46,長潮,長潮,若潮
170,6/20,133.06,11.46,若潮,中潮,中潮
171,6/21,146.68,12.46,中潮,中潮,中潮
172,6/22,160.67,13.46,中潮,中潮,中潮
173,6/23,174.9,14.46,大潮,大潮,大潮
174,6/24,189.23,15.46,大潮,大潮,大潮
175,6/25,203.48,16.46,大潮,大潮,大潮
176,6/26,217.47,17.46,大潮,中潮,中潮
177,6/27,231.07,18.46,中潮,中潮,中潮
178,6/28,244.21,19.46,中潮,中潮,中潮
179,6/29,256.86,20.46,中潮,小潮,小潮
180,6/30,269.06,21.46,中潮,小潮,小潮
181,7/1,280.85,22.46,小潮,小潮,小潮
182,7/2,292.3,23.46,小潮,長潮,長潮
183,7/3,303.51,24.46,小潮,若潮,若潮
184,7/4,314.53,25.46,長潮,中潮,中潮
185,7/5,325.45,26.46,若潮,中潮,中潮
186,7/6,336.31,27.46,中潮,中潮,中潮
187,7/7,347.18,28.46,中潮,中潮,大潮
188,7/8,358.07,29.46,大潮,大潮,大潮
189,7/9,9.03,0.82,大潮,大潮,大潮
190,7/10,20.07,1.82,大潮,大潮,大潮
191,7/11,31.23,2.82,大潮,大潮,中潮
192,7/12,42.52,3.82,中潮,中潮,中潮
193,7/13,53.98,4.82,中潮,中潮,中潮
194,7/14,65.66,5.82,中潮,中潮,中潮
195,7/15,77.59,6.82,中潮,小潮,小潮
196,7/16,89.84,7.82,小潮,小潮,小潮
197,7/17,102.45,8.82,小潮,小潮,小潮
198,7/18,115.46,9.82,小潮,長潮,若潮
199,7/19,128.87,10.82,長潮,若潮,中潮
200,7/20,142.65,11.82,若潮,中潮,中潮
201,7/21,156.72,12.82,中潮,中潮,中潮
202,7/22,170.95,13.82,中潮,大潮,大潮
203,7/23,185.16,14.82,大潮,大潮,大潮
204,7/24,199.19,15.82,大潮,大潮,大潮
205,7/25,212.87,16.82,大潮,大潮,中潮
206,7/26,226.1,17.82,大潮,中潮,中潮
207,7/27,238.85,18.82,中潮,中潮,中潮
208,7/28,251.11,19.82,中潮,中潮,小潮
209,7/29,262.93,20.82,中潮,小潮,小潮
210,7/30,274.39,21.82,中潮,小潮,小潮
211,7/31,285.58,22.82,小潮,小潮,長潮
212,8/1,296.57,23.82,小潮,長潮,若潮
213,8/2,307.46,24.82,小潮,若潮,中潮
214,8/3,318.31,25.82,長潮,中潮,中潮
215,8/4,329.19,26.82,若潮,中潮,中潮
216,8/5,340.15,27.82,中潮,中潮,中潮
217,8/6,351.22,28.82,中潮,大潮,大潮
218,8/7,2.42,0.21,大潮,大潮,大潮
219,8/8,13.77,1.21,大潮,大潮,大潮
220,8/9,25.27,2.21,大潮,大潮,大潮
221,8/10,36.95,3.21,中潮,中潮,中潮
222,8/11,48.81,4.21,中潮,中潮,中潮
223,8/12,60.88,5.21,中潮,中潮,中潮
224,8/13,73.19,6.21,中潮,小潮,小潮
225,8/14,85.77,7.21,小潮,小潮,小潮
226,8/15,98.66,8.21,小潮,小潮,小潮
227,8/16,111.86,9.21,小潮,長潮,長潮
228,8/17,125.36,10.21,長潮,若潮,若潮
229,8/18,139.1,11.21,若潮,中潮,中潮
230,8/19,153.0,12.21,中潮,中潮,中潮
231,8/20,166.92,13.21,中潮,中潮,大潮
232,8/21,180.72,14.21,大潮,大潮,大潮
233,8/22,194.25,15.21,大潮,大潮,大潮
234,8/23,207.4,16.21,大潮,大潮,大潮
235,8/24,220.13,17.21,大潮,中潮,中潮
236,8/25,232.41,18.21,中潮,中潮,中潮
237,8/26,244.26,19.21,中潮,中潮,中潮
238,8/27,255.76,20.21,中潮,小潮,小潮
239,8/28,266.96,21.21,中潮,小潮,小潮
240,8/29,277.97,22.21,小潮,小潮,小潮
241,8/30,288.87,23.21,小潮,長潮,長潮
242,8/31,299.74,24.21,小潮,長潮,若潮
243,9/1,310.66,25.21,長潮,若潮,中潮
244,9/2,321.68,26.21,若潮,中潮,中潮
245,9/3,332.86,27.21,中潮,中潮,中潮
246,9/4,344.23,28.21,中潮,中潮,大潮
247,9/5,355.8,29.21,大潮,大潮,大潮
248,9/6,7.58,0.64,大潮,大潮,大潮
249,9/7,19.56,1.64,大潮,大潮,大潮
250,9/8,31.74,2.64,大潮,大潮,中潮
251,9/9,44.1,3.64,中潮,中潮,中潮
252,9/10,56.65,4.64,中潮,中潮,中潮
253,9/11,69.38,5.64,中潮,中潮,小潮
254,9/12,82.3,6.64,中潮,小潮,小潮
255,9/13,95.41,7.64,小潮,小潮,小潮
256,9/14,108.68,8.64,小潮,長潮,長潮
257,9/15,122.09,9.64,小潮,若潮,若潮
258,9/16,135.56,10.64,長潮,中潮,中潮
259,9/17,149.03,11.64,若潮,中潮,中潮
260,9/18,162.4,12.64,中潮,中潮,中潮
261,9/19,175.56,13.64,中潮,大潮,大潮
262,9/20,188.43,14.64,大潮,大潮,大潮
263,9/21,200.97,15.64,大潮,大潮,大潮
264,9/22,213.13,16.64,大潮,大潮,中潮
265,9/23,224.94,17.64,大潮,中潮,中潮
266,9/24,236.42,18.64,中潮,中潮,中潮
267,9/25,247.64,19.64,中潮,中潮,小潮
268,9/26,258.67,20.64,中潮,小潮,小潮
269,9/27,269.58,21.64,中潮,小潮,小潮
270,9/28,280.46,22.64,小潮,小潮,小潮
271,9/29,291.39,23.64,小潮,長潮,長潮
272,9/30,302.45,24.64,小潮,若潮,若潮
273,10/1,313.69,25.64,長潮,中潮,中潮
274,10/2,325.17,26.64,若潮,中潮,中潮
275,10/3,336.92,27.64,中潮,中潮,中潮
276,10/4,348.95,28.64,中潮,大潮,大潮
277,10/5,1.26,0.1,大潮,大潮,大潮
278,10/6,13.81,1.1,大潮,大潮,大潮
279,10/7,26.58,2.1,大潮,大潮,大潮
280,10/8,39.53,3.1,中潮,中潮,中潮
281,10/9,52.6,4.1,中潮,中潮,中潮
282,10/10,65.76,5.1,中潮,中潮,中潮
283,10/11,78.97,6.1,中潮,小潮,小潮
284,10/12,92.18,7.1,小潮,小潮,小潮
285,10/13,105.37,8.1,小潮,小潮,長潮
286,10/14,118.49,9.1,小潮,長潮,若潮
287,10/15,131.51,10.1,長潮,若潮,中潮
288,10/16,144.38,11.1,若潮,中潮,中潮
289,10/17,157.06,12.1,中潮,中潮,中潮
290,10/18,169.51,13.1,中潮,大潮,大潮
291,10/19,181.7,14.1,大潮,大潮,大潮
292,10/20,193.61,15.1,大潮,大潮,大潮
293,10/21,205.26,16.1,大潮,大潮,大潮
294,10/22,216.65,17.1,大潮,中潮,中潮
295,10/23,227.83,18.1,中潮,中潮,中潮
296,10/24,238.84,19.1,中潮,中潮,中潮
297,10/25,249.74,20.1,中潮,中潮,小潮
298,10/26,260.61,21.1,中潮,小潮,小潮
299,10/27,271.52,22.1,小潮,小潮,小潮
300,10/28,282.54,23.1,小潮,小潮,小潮
301,10/29,293.77,24.1,小潮,長潮,長潮
302,10/30,305.25,25.1,長潮,若潮,若潮
303,10/31,317.06,26.1,若潮,中潮,中潮
304,11/1,329.22,27.1,中潮,中潮,中潮
305,11/2,341.75,28.1,中潮,中潮,中潮
306,11/3,354.63,29.1,大潮,大潮,大潮
307,11/4,7.81,0.59,大潮,大潮,大潮
308,11/5,21.22,1.59,大潮,大潮,大潮
309,11/6,34.76,2.59,大潮,大潮,中潮
310,11/7,48.33,3.59,中潮,中潮,中潮
311,11/8,61.84,4.59,中潮,中潮,中潮
312,11/9,75.22,5.59,中潮,小潮,小潮
313,11/10,88.39,6.59,中潮,小潮,小潮
314,11/11,101.34,7.59,小潮,小潮,小潮
315,11/12,114.05,8.59,小潮,長潮,長潮
316,11/13,126.52,9.59,小潮,若潮,若潮
317,11/14,138.75,10.59,長潮,中潮,中潮
318,11/15,150.76,11.59,若潮,中潮,中潮
319,11/16,162.56,12.59,中潮,中潮,中潮
320,11/17,174.15,13.59,中潮,大潮,大潮
321,11/18,185.55,14.59,大潮,大潮,大潮
322,11/19,196.78,15.59,大潮,大潮,大潮
323,11/20,207.86,16.59,大潮,大潮,大潮
324,11/21,218.82,17.59,大潮,中潮,中潮
325,11/22,229.69,18.59,中潮,中潮,中潮
326,11/23,240.53,19.59,中潮,中潮,中潮
327,11/24,251.41,20.59,中潮,中潮,小潮
328,11/25,262.38,21.59,中潮,小潮,小潮
329,11/26,273.52,22.59,小潮,小潮,小潮
330,11/27,284.93,23.59,小潮,小潮,長潮
331,11/28,296.66,24.59,小潮,長潮,若潮
332,11/29,308.78,25.59,長潮,若潮,中潮
333,11/30,321.34,26.59,若潮,中潮,中潮
334,12/1,334.34,27.59,中潮,中潮,中潮
335,12/2,347.76,28.59,中潮,中潮,大潮
336,12/3,1.52,0.11,大潮,大潮,大潮
337,12/4,15.49,1.11,大潮,大潮,大潮
338,12/5,29.51,2.11,大潮,大潮,大潮
339,12/6,43.45,3.11,中潮,中潮,中潮
340,12/7,57.15,4.11,中潮,中潮,中潮
341,12/8,70.53,5.11,中潮,中潮,小潮
342,12/9,83.54,6.11,中潮,小潮,小潮
343,12/10,96.16,7.11,小潮,小潮,小潮
344,12/11,108.43,8.11,小潮,長潮,長潮
345,12/12,120.38,9.11,小潮,若潮,若潮
346,12/13,132.07,10.11,長潮,中潮,中潮
347,12/14,143.54,11.11,若潮,中潮,中潮
348,12/15,154.83,12.11,中潮,中潮,中潮
349,12/16,165.99,13.11,中潮,中潮,大潮
350,12/17,177.04,14.11,大潮,大潮,大潮
351,12/18,188.0,15.11,大潮,大潮,大潮
352,12/19,198.89,16.11,大潮,大潮,大潮
353,12/20,209.74,17.11,大潮,大潮,大潮
354,12/21,220.59,18.11,中潮,中潮,中潮
355,12/22,231.46,19.11,中潮,中潮,中潮
356,12/23,242.41,20.11,中潮,中潮,中潮
357,12/24,253.51,21.11,中潮,小潮,小潮
358,12/25,264.82,22.11,小潮,小潮,小潮
359,12/26,276.43,23.11,小潮,小潮,小潮
360,12/27,288.41,24.11,小潮,長潮,長潮
361,12/28,300.83,25.11,長潮,若潮,若潮
362,12/29,313.73,26.11,若潮,中潮,中潮
363,12/30,327.12,27.11,中潮,中潮,中潮
364,12/31,340.95,28.11,中潮,中潮,中潮
