,月日,黄経差,月齢,こよみ,気象庁,MIRC
0,1/1,221.48,18.76,中潮,中潮,中潮
1,1/2,233.12,19.76,中潮,中潮,中潮
2,1/3,244.98,20.76,中潮,中潮,中潮
3,1/4,257.09,21.76,中潮,小潮,小潮
4,1/5,269.5,22.76,小潮,小潮,小潮
5,1/6,282.22,23.76,小潮,小潮,小潮
6,1/7,295.28,24.76,小潮,長潮,若潮
7,1/8,308.68,25.76,長潮,若潮,中潮
8,1/9,322.37,26.76,若潮,中潮,中潮
9,1/10,336.28,27.76,中潮,中潮,中潮
10,1/11,350.27,28.76,中潮,大潮,大潮
11,1/12,4.21,0.3,大潮,大潮,大潮
12,1/13,17.93,1.3,大潮,大潮,大潮
13,1/14,31.3,2.3,大潮,大潮,中潮
14,1/15,44.23,3.3,中潮,中潮,中潮
15,1/16,56.69,4.3,中潮,中潮,中潮
16,1/17,68.68,5.3,中潮,中潮,小潮
17,1/18,80.26,6.3,中潮,小潮,小潮
18,1/19,91.51,7.3,小潮,小潮,小潮
19,1/20,102.5,8.3,小潮,小潮,小潮
20,1/21,113.33,9.3,小潮,長潮,長潮
21,1/22,124.09,10.3,長潮,若潮,若潮
22,1/23,134.86,11.3,若潮,中潮,中潮
23,1/24,145.71,12.3,中潮,中潮,中潮
24,1/25,156.7,13.3,中潮,中潮,中潮
25,1/26,167.86,14.3,大潮,中潮,大潮
26,1/27,179.22,15.3,大潮,大潮,大潮
27,1/28,190.77,16.3,大潮,大潮,大潮
28,1/29,202.53,17.3,大潮,大潮,大潮
29,1/30,214.48,18.3,中潮,大潮,中潮
30,1/31,226.62,19.3,中潮,中潮,中潮
31,2/1,238.93,20.3,中潮,中潮,中潮
32,2/2,251.44,21.3,中潮,中潮,小潮
33,2/3,264.14,22.3,小潮,小潮,小潮
34,2/4,277.05,23.3,小潮,小潮,小潮
35,2/5,290.18,24.3,小潮,長潮,長潮
36,2/6,303.52,25.3,長潮,若潮,若潮
37,2/7,317.01,26.3,若潮,中潮,中潮
38,2/8,330.59,27.3,中潮,中潮,中潮
39,2/9,344.16,28.3,中潮,中潮,大潮
40,2/10,357.6,29.3,大潮,大潮,大潮
41,2/11,10.78,0.82,大潮,大潮,大潮
42,2/12,23.62,1.82,大潮,大潮,大潮
43,2/13,36.06,2.82,大潮,中潮,中潮
44,2/14,48.09,3.82,中潮,中潮,中潮
45,2/15,59.72,4.82,中潮,中潮,中潮
46,2/16,71.02,5.82,中潮,中潮,小潮
47,2/17,82.06,6.82,中潮,小潮,小潮
48,2/18,92.93,7.82,小潮,小潮,小潮
49,2/19,103.72,8.82,小潮,小潮,長潮
50,2/20,114.53,9.82,小潮,長潮,長潮
51,2/21,125.44,10.82,長潮,若潮,若潮
52,2/22,136.52,11.82,若潮,中潮,中潮
53,2/23,147.82,12.82,中潮,中潮,中潮
54,2/24,159.39,13.82,中潮,中潮,中潮
55,2/25,171.23,14.82,大潮,大潮,大潮
56,2/26,183.34,15.82,大潮,大潮,大潮
57,2/27,195.68,16.82,大潮,大潮,大潮
58,2/28,208.23,17.82,大潮,大潮,大潮
59,3/1,220.93,18.82,中潮,中潮,中潮
60,3/2,233.77,19.82,中潮,中潮,中潮
61,3/3,246.7,20.82,中潮,中潮,中潮
62,3/4,259.71,21.82,中潮,小潮,小潮
63,3/5,272.8,22.82,小潮,小潮,小潮
64,3/6,285.94,23.82,小潮,小潮,長潮
65,3/7,299.11,24.82,小潮,長潮,若潮
66,3/8,312.28,25.82,長潮,中潮,中潮
67,3/9,325.4,26.82,若潮,中潮,中潮
68,3/10,338.38,27.82,中潮,中潮,中潮
69,3/11,351.17,28.82,中潮,大潮,大潮
70,3/12,3.7,0.3,大潮,大潮,大潮
71,3/13,15.92,1.3,大潮,大潮,大潮
72,3/14,27.82,2.3,大潮,大潮,大潮
73,3/15,39.39,3.3,中潮,中潮,中潮
74,3/16,50.69,4.3,中潮,中潮,中潮
75,3/17,61.75,5.3,中潮,中潮,中潮
76,3/18,72.65,6.3,中潮,小潮,小潮
77,3/19,83.48,7.3,小潮,小潮,小潮
78,3/20,94.32,8.3,小潮,小潮,小潮
