,月日,黄経差,月齢,こよみ,気象庁,MIRC
102,4/12,235.32,18.73,中潮,中潮,中潮
103,4/13,247.98,19.73,中潮,中潮,小潮
104,4/14,260.18,20.73,中潮,小潮,小潮
105,4/15,271.97,21.73,中潮,小潮,小潮
106,4/16,283.44,22.73,小潮,小潮,長潮
107,4/17,294.66,23.73,小潮,長潮,長潮
108,4/18,305.7,24.73,小潮,若潮,若潮
109,4/19,316.64,25.73,長潮,中潮,中潮
110,4/20,327.52,26.73,若潮,中潮,中潮
111,4/21,338.4,27.73,中潮,中潮,中潮
112,4/22,349.3,28.73,中潮,大潮,大潮
113,4/23,0.26,0.02,大潮,大潮,大潮
114,4/24,11.29,1.02,大潮,大潮,大潮
115,4/25,22.43,2.02,大潮,大潮,大潮
116,4/26,33.69,3.02,中潮,大潮,中潮
117,4/27,45.11,4.02,中潮,中潮,中潮
118,4/28,56.74,5.02,中潮,中潮,中潮
119,4/29,68.62,6.02,中潮,中潮,小潮
120,4/30,80.82,7.02,小潮,小潮,小潮
121,5/1,93.36,8.02,小潮,小潮,小潮
122,5/2,106.3,9.02,小潮,小潮,長潮
123,5/3,119.63,10.02,長潮,長潮,若潮
124,5/4,133.31,11.02,若潮,中潮,中潮
125,5/5,147.27,12.02,中潮,中潮,中潮
126,5/6,161.38,13.02,中潮,中潮,中潮
127,5/7,175.48,14.02,大潮,大潮,大潮
128,5/8,189.4,15.02,大潮,大潮,大潮
129,5/9,203.02,16.02,大潮,大潮,大潮
130,5/10,216.23,17.02,大潮,中潮,中潮
131,5/11,229.0,18.02,中潮,中潮,中潮
132,5/12,241.32,19.02,中潮,中潮,中潮
133,5/13,253.22,20.02,中潮,小潮,小潮
134,5/14,264.78,21.02,中潮,小潮,小潮
135,5/15,276.06,22.02,小潮,小潮,小潮
136,5/16,287.13,23.02,小潮,小潮,長潮
137,5/17,298.09,24.02,小潮,長潮,若潮
138,5/18,308.98,25.02,長潮,若潮,中潮
139,5/19,319.89,26.02,若潮,中潮,中潮
140,5/20,330.85,27.02,中潮,中潮,中潮
141,5/21,341.91,28.02,中潮,中潮,中潮
142,5/22,353.1,29.02,大潮,大潮,大潮
143,5/23,4.44,0.39,大潮,大潮,大潮
144,5/24,15.96,1.39,大潮,大潮,大潮
145,5/25,27.67,2.39,大潮,大潮,大潮
146,5/26,39.59,3.39,中潮,中潮,中潮
147,5/27,51.74,4.39,中潮,中潮,中潮
148,5/28,64.14,5.39,中潮,中潮,中潮
149,5/29,76.8,6.39,中潮,小潮,小潮
150,5/30,89.73,7.39,小潮,小潮,小潮
151,5/31,102.92,8.39,小潮,小潮,小潮
152,6/1,116.35,9.39,小潮,長潮,若潮
153,6/2,129.96,10.39,長潮,若潮,中潮
154,6/3,143.66,11.39,若潮,中潮,中潮
155,6/4,157.36,12.39,中潮,中潮,中潮
156,6/5,170.95,13.39,中潮,大潮,大潮
157,6/6,184.31,14.39,大潮,大潮,大潮
158,6/7,197.37,15.39,大潮,大潮,大潮
159,6/8,210.08,16.39,大潮,大潮,大潮
160,6/9,222.4,17.39,大潮,中潮,中潮
161,6/10,234.35,18.39,中潮,中潮,中潮
162,6/11,245.97,19.39,中潮,中潮,中潮
163,6/12,257.31,20.39,中潮,小潮,小潮
164,6/13,268.44,21.39,中潮,小潮,小潮
165,6/14,279.43,22.39,小潮,小潮,小潮
166,6/15,290.35,23.39,小潮,長潮,長潮
167,6/16,301.29,24.39,小潮,若潮,若潮
168,6/17,312.3,25.39,長潮,中潮,中潮
169,6/18,323.45,26.39,若潮,中潮,中潮
170,6/19,334.79,27.39,中潮,中潮,中潮
171,6/20,346.36,28.39,中潮,中潮,大潮
172,6/21,358.16,29.39,大潮,大潮,大潮
173,6/22,10.22,0.85,大潮,大潮,大潮
174,6/23,22.53,1.85,大潮,大潮,大潮
175,6/24,35.08,2.85,大潮,大潮,中潮
176,6/25,47.84,3.85,中潮,中潮,中潮
177,6/26,60.78,4.85,中潮,中潮,中潮
178,6/27,73.88,5.85,中潮,小潮,小潮
179,6/28,87.09,6.85,中潮,小潮,小潮
180,6/29,100.38,7.85,小潮,小潮,小潮
181,6/30,113.71,8.85,小潮,長潮,長潮
182,7/1,127.02,9.85,小潮,若潮,中潮
183,7/2,140.27,10.85,長潮,中潮,中潮
184,7/3,153.4,11.85,若潮,中潮,中潮
185,7/4,166.36,12.85,中潮,中潮,大潮
186,7/5,179.09,13.85,中潮,大潮,大潮
187,7/6,191.55,14.85,大潮,大潮,大潮
188,7/7,203.72,15.85,大潮,大潮,大潮
189,7/8,215.6,16.85,大潮,大潮,中潮
190,7/9,227.19,17.85,大潮,中潮,中潮
191,7/10,238.53,18.85,中潮,中潮,中潮
192,7/11,249.67,19.85,中潮,中潮,小潮
193,7/12,260.67,20.85,中潮,小潮,小潮
194,7/13,271.6,21.85,中潮,小潮,小潮
195,7/14,282.54,22.85,小潮,小潮,小潮
196,7/15,293.57,23.85,小潮,長潮,長潮
197,7/16,304.77,24.85,小潮,若潮,若潮
198,7/17,316.19,25.85,長潮,中潮,中潮
199,7/18,327.91,26.85,若潮,中潮,中潮
200,7/19,339.95,27.85,中潮,中潮,中潮
201,7/20,352.33,28.85,中潮,大潮,大潮
202,7/21,5.04,0.39,大潮,大潮,大潮
203,7/22,18.03,1.39,大潮,大潮,大潮
204,7/23,31.25,2.39,大潮,大潮,中潮
205,7/24,44.61,3.39,中潮,中潮,中潮
206,7/25,58.02,4.39,中潮,中潮,中潮
207,7/26,71.42,5.39,中潮,中潮,小潮
208,7/27,84.74,6.39,中潮,小潮,小潮
209,7/28,97.93,7.39,小潮,小潮,小潮
210,7/29,110.98,8.39,小潮,長潮,長潮
211,7/30,123.86,9.39,小潮,若潮,若潮
212,7/31,136.56,10.39,長潮,中潮,中潮
213,8/1,149.09,11.39,若潮,中潮,中潮
214,8/2,161.41,12.39,中潮,中潮,中潮
215,8/3,173.53,13.39,中潮,大潮,大潮
216,8/4,185.44,14.39,大潮,大潮,大潮
217,8/5,197.12,15.39,大潮,大潮,大潮
218,8/6,208.59,16.39,大潮,大潮,大潮
219,8/7,219.85,17.39,大潮,中潮,中潮
220,8/8,230.94,18.39,中潮,中潮,中潮
221,8/9,241.9,19.39,中潮,中潮,中潮
222,8/10,252.81,20.39,中潮,小潮,小潮
223,8/11,263.72,21.39,中潮,小潮,小潮
224,8/12,274.72,22.39,小潮,小潮,小潮
225,8/13,285.89,23.39,小潮,小潮,長潮
226,8/14,297.32,24.39,小潮,長潮,若潮
227,8/15,309.08,25.39,長潮,若潮,中潮
228,8/16,321.23,26.39,若潮,中潮,中潮
229,8/17,333.81,27.39,中潮,中潮,中潮
230,8/18,346.81,28.39,中潮,中潮,大潮
231,8/19,0.17,0.01,大潮,大潮,大潮
232,8/20,13.82,1.01,大潮,大潮,大潮
233,8/21,27.62,2.01,大潮,大潮,大潮
234,8/22,41.43,3.01,中潮,中潮,中潮
235,8/23,55.14,4.01,中潮,中潮,中潮
236,8/24,68.65,5.01,中潮,中潮,小潮
237,8/25,81.89,6.01,中潮,小潮,小潮
238,8/26,94.85,7.01,小潮,小潮,小潮
239,8/27,107.52,8.01,小潮,小潮,長潮
240,8/28,119.93,9.01,小潮,長潮,若潮
241,8/29,132.1,10.01,長潮,中潮,中潮
242,8/30,144.07,11.01,若潮,中潮,中潮
243,8/31,155.84,12.01,中潮,中潮,中潮
244,9/1,167.45,13.01,中潮,中潮,大潮
245,9/2,178.88,14.01,大潮,大潮,大潮
246,9/3,190.16,15.01,大潮,大潮,大潮
247,9/4,201.28,16.01,大潮,大潮,大潮
248,9/5,212.29,17.01,大潮,大潮,中潮
249,9/6,223.19,18.01,中潮,中潮,中潮
250,9/7,234.05,19.01,中潮,中潮,中潮
251,9/8,244.92,20.01,中潮,中潮,中潮
252,9/9,255.87,21.01,中潮,小潮,小潮
253,9/10,266.98,22.01,小潮,小潮,小潮
254,9/11,278.35,23.01,小潮,小潮,小潮
255,9/12,290.06,24.01,小潮,長潮,長潮
256,9/13,302.19,25.01,長潮,若潮,若潮
257,9/14,314.78,26.01,若潮,中潮,中潮
258,9/15,327.87,27.01,中潮,中潮,中潮
259,9/16,341.4,28.01,中潮,中潮,中潮
260,9/17,355.31,29.01,大潮,大潮,大潮
261,9/18,9.43,0.67,大潮,大潮,大潮
262,9/19,23.6,1.67,大潮,大潮,大潮
263,9/20,37.65,2.67,大潮,中潮,中潮
264,9/21,51.44,3.67,中潮,中潮,中潮
265,9/22,64.88,4.67,中潮,中潮,中潮
266,9/23,77.92,5.67,中潮,小潮,小潮
267,9/24,90.56,6.67,中潮,小潮,小潮
268,9/25,102.86,7.67,小潮,小潮,小潮
269,9/26,114.84,8.67,小潮,長潮,長潮
270,9/27,126.56,9.67,小潮,若潮,若潮
271,9/28,138.08,10.67,長潮,中潮,中潮
272,9/29,149.42,11.67,若潮,中潮,中潮
273,9/30,160.63,12.67,中潮,中潮,中潮
274,10/1,171.71,13.67,中潮,大潮,大潮
275,10/2,182.7,14.67,大潮,大潮,大潮
276,10/3,193.61,15.67,大潮,大潮,大潮
277,10/4,204.47,16.67,大潮,大潮,大潮
278,10/5,215.3,17.67,大潮,大潮,中潮
279,10/6,226.17,18.67,中潮,中潮,中潮
280,10/7,237.11,19.67,中潮,中潮,中潮
281,10/8,248.2,20.67,中潮,中潮,小潮
282,10/9,259.52,21.67,中潮,小潮,小潮
283,10/10,271.15,22.67,小潮,小潮,小潮
284,10/11,283.17,23.67,小潮,小潮,長潮
285,10/12,295.65,24.67,小潮,長潮,若潮
286,10/13,308.62,25.67,長潮,若潮,中潮
287,10/14,322.08,26.67,若潮,中潮,中潮
288,10/15,335.97,27.67,中潮,中潮,中潮
289,10/16,350.15,28.67,中潮,大潮,大潮
290,10/17,4.47,0.31,大潮,大潮,大潮
291,10/18,18.72,1.31,大潮,大潮,大潮
292,10/19,32.75,2.31,大潮,大潮,中潮
293,10/20,46.42,3.31,中潮,中潮,中潮
294,10/21,59.66,4.31,中潮,中潮,中潮
295,10/22,72.44,5.31,中潮,小潮,小潮
296,10/23,84.78,6.31,中潮,小潮,小潮
297,10/24,96.74,7.31,小潮,小潮,小潮
298,10/25,108.38,8.31,小潮,長潮,長潮
299,10/26,119.76,9.31,小潮,長潮,若潮
300,10/27,130.94,10.31,長潮,若潮,中潮
301,10/28,141.98,11.31,若潮,中潮,中潮
302,10/29,152.93,12.31,中潮,中潮,中潮
303,10/30,163.81,13.31,中潮,中潮,大潮
304,10/31,174.66,14.31,大潮,大潮,大潮
305,11/1,185.51,15.31,大潮,大潮,大潮
306,11/2,196.38,16.31,大潮,大潮,大潮
307,11/3,207.32,17.31,大潮,大潮,大潮
308,11/4,218.35,18.31,中潮,中潮,中潮
309,11/5,229.52,19.31,中潮,中潮,中潮
310,11/6,240.9,20.31,中潮,中潮,中潮
311,11/7,252.54,21.31,中潮,小潮,小潮
312,11/8,264.51,22.31,小潮,小潮,小潮
313,11/9,276.86,23.31,小潮,小潮,小潮
314,11/10,289.64,24.31,小潮,長潮,長潮
315,11/11,302.85,25.31,長潮,若潮,若潮
316,11/12,316.47,26.31,若潮,中潮,中潮
317,11/13,330.42,27.31,中潮,中潮,中潮
318,11/14,344.57,28.31,中潮,中潮,大潮
319,11/15,358.75,29.31,大潮,大潮,大潮
320,11/16,12.81,0.91,大潮,大潮,大潮
321,11/17,26.58,1.91,大潮,大潮,大潮
322,11/18,39.97,2.91,大潮,中潮,中潮
323,11/19,52.92,3.91,中潮,中潮,中潮
324,11/20,65.41,4.91,中潮,中潮,中潮
325,11/21,77.48,5.91,中潮,小潮,小潮
326,11/22,89.16,6.91,中潮,小潮,小潮
327,11/23,100.53,7.91,小潮,小潮,小潮
328,11/24,111.67,8.91,小潮,長潮,長潮
329,11/25,122.63,9.91,小潮,若潮,若潮
330,11/26,133.5,10.91,長潮,中潮,中潮
331,11/27,144.32,11.91,若潮,中潮,中潮
332,11/28,155.16,12.91,中潮,中潮,中潮
333,11/29,166.04,13.91,中潮,中潮,大潮
334,11/30,177.01,14.91,大潮,大潮,大潮
335,12/1,188.1,15.91,大潮,大潮,大潮
336,12/2,199.33,16.91,大潮,大潮,大潮
337,12/3,210.73,17.91,大潮,大潮,大潮
338,12/4,222.33,18.91,中潮,中潮,中潮
339,12/5,234.16,19.91,中潮,中潮,中潮
340,12/6,246.24,20.91,中潮,中潮,中潮
341,12/7,258.6,21.91,中潮,小潮,小潮
342,12/8,271.28,22.91,小潮,小潮,小潮
343,12/9,284.26,23.91,小潮,小潮,長潮
344,12/10,297.55,24.91,小潮,長潮,若潮
345,12/11,311.1,25.91,長潮,若潮,中潮
346,12/12,324.84,26.91,若潮,中潮,中潮
347,12/13,338.66,27.91,中潮,中潮,中潮
348,12/14,352.44,28.91,中潮,大潮,大潮
349,12/15,6.06,0.45,大潮,大潮,大潮
350,12/16,19.4,1.45,大潮,大潮,大潮
351,12/17,32.39,2.45,大潮,大潮,中潮
352,12/18,44.98,3.45,中潮,中潮,中潮
353,12/19,57.15,4.45,中潮,中潮,中潮
354,12/20,68.93,5.45,中潮,中潮,小潮
355,12/21,80.36,6.45,中潮,小潮,小潮
356,12/22,91.53,7.45,小潮,小潮,小潮
357,12/23,102.49,8.45,小潮,小潮,小潮
358,12/24,113.34,9.45,小潮,長潮,長潮
359,12/25,124.14,10.45,長潮,若潮,若潮
360,12/26,134.98,11.45,若潮,中潮,中潮
361,12/27,145.92,12.45,中潮,中潮,中潮
362,12/28,157.0,13.45,中潮,中潮,中潮
363,12/29,168.28,14.45,大潮,大潮,大潮
364,12/30,179.77,15.45,大潮,大潮,大潮
365,12/31,191.5,16.45,大潮,大潮,大潮
