,月日,黄経差,月齢,こよみ,気象庁,MIRC
0,1/1,67.49,5.91,中潮,中潮,小潮
1,1/2,78.35,6.91,中潮,小潮,小潮
2,1/3,89.2,7.91,小潮,小潮,小潮
3,1/4,100.14,8.91,小潮,小潮,小潮
4,1/5,111.24,9.91,小潮,長潮,長潮
5,1/6,122.56,10.91,長潮,若潮,若潮
6,1/7,134.18,11.91,若潮,中潮,中潮
7,1/8,146.15,12.91,中潮,中潮,中潮
8,1/9,158.47,13.91,中潮,中潮,中潮
9,1/10,171.16,14.91,大潮,大潮,大潮
10,1/11,184.18,15.91,大潮,大潮,大潮
11,1/12,197.46,16.91,大潮,大潮,大潮
12,1/13,210.91,17.91,大潮,大潮,大潮
13,1/14,224.43,18.91,中潮,中潮,中潮
14,1/15,237.94,19.91,中潮,中潮,中潮
15,1/16,251.34,20.91,中潮,中潮,小潮
16,1/17,264.56,21.91,中潮,小潮,小潮
17,1/18,277.58,22.91,小潮,小潮,小潮
18,1/19,290.37,23.91,小潮,長潮,長潮
19,1/20,302.93,24.91,小潮,若潮,若潮
20,1/21,315.27,25.91,長潮,中潮,中潮
21,1/22,327.38,26.91,若潮,中潮,中潮
22,1/23,339.3,27.91,中潮,中潮,中潮
23,1/24,351.01,28.91,中潮,大潮,大潮
24,1/25,2.53,0.22,大潮,大潮,大潮
25,1/26,13.87,1.22,大潮,大潮,大潮
26,1/27,25.03,2.22,大潮,大潮,大潮
27,1/28,36.06,3.22,中潮,中潮,中潮
28,1/29,46.97,4.22,中潮,中潮,中潮
29,1/30,57.82,5.22,中潮,中潮,中潮
30,1/31,68.66,6.22,中潮,中潮,小潮
31,2/1,79.57,7.22,小潮,小潮,小潮
32,2/2,90.61,8.22,小潮,小潮,小潮
33,2/3,101.86,9.22,小潮,小潮,小潮
34,2/4,113.42,10.22,長潮,長潮,長潮
35,2/5,125.35,11.22,若潮,若潮,若潮
36,2/6,137.71,12.22,中潮,中潮,中潮
37,2/7,150.51,13.22,中潮,中潮,中潮
38,2/8,163.76,14.22,大潮,中潮,大潮
39,2/9,177.38,15.22,大潮,大潮,大潮
40,2/10,191.27,16.22,大潮,大潮,大潮
41,2/11,205.28,17.22,大潮,大潮,大潮
42,2/12,219.26,18.22,中潮,中潮,中潮
43,2/13,233.05,19.22,中潮,中潮,中潮
44,2/14,246.55,20.22,中潮,中潮,中潮
45,2/15,259.7,21.22,中潮,小潮,小潮
46,2/16,272.48,22.22,小潮,小潮,小潮
47,2/17,284.9,23.22,小潮,小潮,長潮
48,2/18,296.99,24.22,小潮,長潮,若潮
49,2/19,308.82,25.22,長潮,若潮,中潮
50,2/20,320.41,26.22,若潮,中潮,中潮
51,2/21,331.83,27.22,中潮,中潮,中潮
52,2/22,343.09,28.22,中潮,中潮,大潮
53,2/23,354.23,29.22,大潮,大潮,大潮
54,2/24,5.26,0.48,大潮,大潮,大潮
55,2/25,16.21,1.48,大潮,大潮,大潮
56,2/26,27.09,2.48,大潮,大潮,大潮
57,2/27,37.94,3.48,中潮,中潮,中潮
58,2/28,48.79,4.48,中潮,中潮,中潮
59,2/29,59.7,5.48,中潮,中潮,中潮
60,3/1,70.72,6.48,中潮,中潮,小潮
61,3/2,81.92,7.48,小潮,小潮,小潮
62,3/3,93.4,8.48,小潮,小潮,小潮
63,3/4,105.23,9.48,小潮,小潮,長潮
64,3/5,117.48,10.48,長潮,長潮,若潮
65,3/6,130.21,11.48,若潮,若潮,中潮
66,3/7,143.45,12.48,中潮,中潮,中潮
67,3/8,157.14,13.48,中潮,中潮,中潮
68,3/9,171.21,14.48,大潮,大潮,大潮
69,3/10,185.49,15.48,大潮,大潮,大潮
70,3/11,199.81,16.48,大潮,大潮,大潮
71,3/12,213.97,17.48,大潮,大潮,中潮
72,3/13,227.8,18.48,中潮,中潮,中潮
73,3/14,241.22,19.48,中潮,中潮,中潮
74,3/15,254.16,20.48,中潮,小潮,小潮
75,3/16,266.66,21.48,中潮,小潮,小潮
76,3/17,278.73,22.48,小潮,小潮,小潮
77,3/18,290.47,23.48,小潮,長潮,長潮
78,3/19,301.92,24.48,小潮,若潮,若潮
79,3/20,313.16,25.48,長潮,中潮,中潮
80,3/21,324.26,26.48,若潮,中潮,中潮
81,3/22,335.25,27.48,中潮,中潮,中潮
82,3/23,346.18,28.48,中潮,中潮,大潮
83,3/24,357.07,29.48,大潮,大潮,大潮
84,3/25,7.94,0.73,大潮,大潮,大潮
85,3/26,18.82,1.73,大潮,大潮,大潮
86,3/27,29.74,2.73,大潮,大潮,大潮
87,3/28,40.72,3.73,中潮,中潮,中潮
88,3/29,51.8,4.73,中潮,中潮,中潮
89,3/30,63.05,5.73,中潮,中潮,中潮
90,3/31,74.53,6.73,中潮,小潮,小潮
91,4/1,86.32,7.73,小潮,小潮,小潮
92,4/2,98.48,8.73,小潮,小潮,小潮
93,4/3,111.08,9.73,小潮,長潮,長潮
94,4/4,124.15,10.73,長潮,若潮,若潮
95,4/5,137.69,11.73,若潮,中潮,中潮
96,4/6,151.65,12.73,中潮,中潮,中潮
97,4/7,165.89,13.73,中潮,中潮,大潮
98,4/8,180.25,14.73,大潮,大潮,大潮
99,4/9,194.53,15.73,大潮,大潮,大潮
100,4/10,208.55,16.73,大潮,大潮,大潮
101,4/11,222.17,17.73,大潮,中潮,中潮
