,月日,黄経差,月齢,こよみ,気象庁,MIRC
114,4/25,307.01,25.34,長潮,若潮,中潮
115,4/26,320.1,26.34,若潮,中潮,中潮
116,4/27,333.05,27.34,中潮,中潮,中潮
117,4/28,345.81,28.34,中潮,中潮,大潮
118,4/29,358.33,29.34,大潮,大潮,大潮
119,4/30,10.59,0.87,大潮,大潮,大潮
120,5/1,22.58,1.87,大潮,大潮,大潮
121,5/2,34.29,2.87,大潮,大潮,中潮
122,5/3,45.74,3.87,中潮,中潮,中潮
123,5/4,56.97,4.87,中潮,中潮,中潮
124,5/5,68.02,5.87,中潮,中潮,小潮
125,5/6,78.97,6.87,中潮,小潮,小潮
126,5/7,89.89,7.87,小潮,小潮,小潮
127,5/8,100.84,8.87,小潮,小潮,小潮
128,5/9,111.92,9.87,小潮,長潮,長潮
129,5/10,123.19,10.87,長潮,若潮,若潮
130,5/11,134.72,11.87,若潮,中潮,中潮
131,5/12,146.56,12.87,中潮,中潮,中潮
132,5/13,158.75,13.87,中潮,中潮,中潮
133,5/14,171.3,14.87,大潮,大潮,大潮
134,5/15,184.19,15.87,大潮,大潮,大潮
135,5/16,197.35,16.87,大潮,大潮,大潮
136,5/17,210.73,17.87,大潮,大潮,大潮
137,5/18,224.22,18.87,中潮,中潮,中潮
138,5/19,237.73,19.87,中潮,中潮,中潮
139,5/20,251.18,20.87,中潮,中潮,小潮
140,5/21,264.51,21.87,中潮,小潮,小潮
141,5/22,277.66,22.87,小潮,小潮,小潮
142,5/23,290.61,23.87,小潮,長潮,長潮
143,5/24,303.36,24.87,小潮,若潮,若潮
144,5/25,315.9,25.87,長潮,中潮,中潮
145,5/26,328.25,26.87,若潮,中潮,中潮
146,5/27,340.38,27.87,中潮,中潮,中潮
147,5/28,352.32,28.87,中潮,大潮,大潮
148,5/29,4.05,0.35,大潮,大潮,大潮
149,5/30,15.58,1.35,大潮,大潮,大潮
150,5/31,26.92,2.35,大潮,大潮,大潮
151,6/1,38.08,3.35,中潮,中潮,中潮
152,6/2,49.11,4.35,中潮,中潮,中潮
153,6/3,60.05,5.35,中潮,中潮,中潮
154,6/4,70.95,6.35,中潮,中潮,小潮
155,6/5,81.89,7.35,小潮,小潮,小潮
156,6/6,92.94,8.35,小潮,小潮,小潮
157,6/7,104.19,9.35,小潮,小潮,長潮
158,6/8,115.72,10.35,長潮,長潮,若潮
159,6/9,127.6,11.35,若潮,若潮,中潮
160,6/10,139.9,12.35,中潮,中潮,中潮
161,6/11,152.63,13.35,中潮,中潮,中潮
162,6/12,165.79,14.35,大潮,中潮,大潮
163,6/13,179.32,15.35,大潮,大潮,大潮
164,6/14,193.12,16.35,大潮,大潮,大潮
165,6/15,207.06,17.35,大潮,大潮,大潮
166,6/16,221.0,18.35,中潮,中潮,中潮
167,6/17,234.78,19.35,中潮,中潮,中潮
168,6/18,248.32,20.35,中潮,中潮,小潮
169,6/19,261.55,21.35,中潮,小潮,小潮
170,6/20,274.45,22.35,小潮,小潮,小潮
171,6/21,287.04,23.35,小潮,小潮,長潮
172,6/22,299.33,24.35,小潮,長潮,若潮
173,6/23,311.37,25.35,長潮,若潮,中潮
174,6/24,323.19,26.35,若潮,中潮,中潮
175,6/25,334.82,27.35,中潮,中潮,中潮
176,6/26,346.28,28.35,中潮,中潮,大潮
177,6/27,357.59,29.35,大潮,大潮,大潮
178,6/28,8.77,0.79,大潮,大潮,大潮
179,6/29,19.84,1.79,大潮,大潮,大潮
180,6/30,30.8,2.79,大潮,大潮,大潮
181,7/1,41.7,3.79,中潮,中潮,中潮
182,7/2,52.58,4.79,中潮,中潮,中潮
183,7/3,63.5,5.79,中潮,中潮,中潮
184,7/4,74.53,6.79,中潮,小潮,小潮
185,7/5,85.74,7.79,小潮,小潮,小潮
186,7/6,97.22,8.79,小潮,小潮,小潮
187,7/7,109.06,9.79,小潮,長潮,長潮
188,7/8,121.32,10.79,長潮,若潮,若潮
189,7/9,134.07,11.79,若潮,中潮,中潮
190,7/10,147.3,12.79,中潮,中潮,中潮
191,7/11,160.99,13.79,中潮,中潮,中潮
192,7/12,175.02,14.79,大潮,大潮,大潮
193,7/13,189.26,15.79,大潮,大潮,大潮
194,7/14,203.52,16.79,大潮,大潮,大潮
195,7/15,217.63,17.79,大潮,中潮,中潮
196,7/16,231.44,18.79,中潮,中潮,中潮
197,7/17,244.86,19.79,中潮,中潮,中潮
198,7/18,257.86,20.79,中潮,小潮,小潮
199,7/19,270.44,21.79,中潮,小潮,小潮
200,7/20,282.65,22.79,小潮,小潮,小潮
201,7/21,294.54,23.79,小潮,長潮,長潮
202,7/22,306.17,24.79,小潮,若潮,若潮
203,7/23,317.58,25.79,長潮,中潮,中潮
204,7/24,328.84,26.79,若潮,中潮,中潮
205,7/25,339.97,27.79,中潮,中潮,中潮
206,7/26,351.0,28.79,中潮,大潮,大潮
207,7/27,1.96,0.18,大潮,大潮,大潮
208,7/28,12.87,1.18,大潮,大潮,大潮
209,7/29,23.75,2.18,大潮,大潮,大潮
210,7/30,34.64,3.18,中潮,大潮,中潮
211,7/31,45.58,4.18,中潮,中潮,中潮
212,8/1,56.63,5.18,中潮,中潮,中潮
213,8/2,67.84,6.18,中潮,中潮,小潮
214,8/3,79.3,7.18,小潮,小潮,小潮
215,8/4,91.08,8.18,小潮,小潮,小潮
216,8/5,103.26,9.18,小潮,小潮,長潮
217,8/6,115.91,10.18,長潮,長潮,若潮
218,8/7,129.04,11.18,若潮,若潮,中潮
219,8/8,142.65,12.18,中潮,中潮,中潮
220,8/9,156.65,13.18,中潮,中潮,中潮
221,8/10,170.93,14.18,大潮,大潮,大潮
222,8/11,185.29,15.18,大潮,大潮,大潮
223,8/12,199.56,16.18,大潮,大潮,大潮
224,8/13,213.56,17.18,大潮,大潮,中潮
225,8/14,227.18,18.18,中潮,中潮,中潮
226,8/15,240.34,19.18,中潮,中潮,中潮
227,8/16,253.03,20.18,中潮,小潮,小潮
228,8/17,265.29,21.18,中潮,小潮,小潮
229,8/18,277.17,22.18,小潮,小潮,小潮
230,8/19,288.73,23.18,小潮,長潮,長潮
231,8/20,300.05,24.18,小潮,若潮,若潮
232,8/21,311.19,25.18,長潮,若潮,中潮
233,8/22,322.2,26.18,若潮,中潮,中潮
234,8/23,333.13,27.18,中潮,中潮,中潮
235,8/24,344.02,28.18,中潮,中潮,大潮
236,8/25,354.91,29.18,大潮,大潮,大潮
237,8/26,5.81,0.53,大潮,大潮,大潮
238,8/27,16.77,1.53,大潮,大潮,大潮
239,8/28,27.8,2.53,大潮,大潮,大潮
240,8/29,38.96,3.53,中潮,中潮,中潮
241,8/30,50.27,4.53,中潮,中潮,中潮
242,8/31,61.81,5.53,中潮,中潮,中潮
243,9/1,73.62,6.53,中潮,小潮,小潮
244,9/2,85.77,7.53,小潮,小潮,小潮
245,9/3,98.31,8.53,小潮,小潮,小潮
246,9/4,111.27,9.53,小潮,長潮,長潮
247,9/5,124.65,10.53,長潮,若潮,若潮
248,9/6,138.41,11.53,若潮,中潮,中潮
249,9/7,152.45,12.53,中潮,中潮,中潮
250,9/8,166.63,13.53,中潮,中潮,大潮
251,9/9,180.8,14.53,大潮,大潮,大潮
252,9/10,194.79,15.53,大潮,大潮,大潮
253,9/11,208.46,16.53,大潮,大潮,大潮
254,9/12,221.72,17.53,大潮,中潮,中潮
255,9/13,234.53,18.53,中潮,中潮,中潮
256,9/14,246.89,19.53,中潮,中潮,中潮
257,9/15,258.84,20.53,中潮,小潮,小潮
258,9/16,270.44,21.53,中潮,小潮,小潮
259,9/17,281.75,22.53,小潮,小潮,小潮
260,9/18,292.85,23.53,小潮,長潮,長潮
261,9/19,303.81,24.53,小潮,若潮,若潮
262,9/20,314.69,25.53,長潮,中潮,中潮
263,9/21,325.56,26.53,若潮,中潮,中潮
264,9/22,336.46,27.53,中潮,中潮,中潮
265,9/23,347.43,28.53,中潮,中潮,大潮
266,9/24,358.5,29.53,大潮,大潮,大潮
267,9/25,9.71,0.87,大潮,大潮,大潮
268,9/26,21.07,1.87,大潮,大潮,大潮
269,9/27,32.62,2.87,大潮,大潮,中潮
270,9/28,44.37,3.87,中潮,中潮,中潮
271,9/29,56.37,4.87,中潮,中潮,中潮
272,9/30,68.62,5.87,中潮,中潮,小潮
273,10/1,81.17,6.87,中潮,小潮,小潮
274,10/2,94.03,7.87,小潮,小潮,小潮
275,10/3,107.18,8.87,小潮,小潮,長潮
276,10/4,120.61,9.87,小潮,若潮,若潮
277,10/5,134.26,10.87,長潮,中潮,中潮
278,10/6,148.05,11.87,若潮,中潮,中潮
279,10/7,161.85,12.87,中潮,中潮,中潮
280,10/8,175.56,13.87,中潮,大潮,大潮
281,10/9,189.06,14.87,大潮,大潮,大潮
282,10/10,202.24,15.87,大潮,大潮,大潮
283,10/11,215.05,16.87,大潮,大潮,中潮
284,10/12,227.46,17.87,大潮,中潮,中潮
285,10/13,239.48,18.87,中潮,中潮,中潮
286,10/14,251.13,19.87,中潮,中潮,小潮
287,10/15,262.48,20.87,中潮,小潮,小潮
288,10/16,273.59,21.87,中潮,小潮,小潮
289,10/17,284.54,22.87,小潮,小潮,長潮
290,10/18,295.4,23.87,小潮,長潮,若潮
291,10/19,306.26,24.87,小潮,若潮,若潮
292,10/20,317.18,25.87,長潮,中潮,中潮
293,10/21,328.22,26.87,若潮,中潮,中潮
294,10/22,339.42,27.87,中潮,中潮,中潮
295,10/23,350.83,28.87,中潮,大潮,大潮
296,10/24,2.47,0.21,大潮,大潮,大潮
297,10/25,14.35,1.21,大潮,大潮,大潮
298,10/26,26.46,2.21,大潮,大潮,大潮
299,10/27,38.81,3.21,中潮,中潮,中潮
300,10/28,51.36,4.21,中潮,中潮,中潮
301,10/29,64.11,5.21,中潮,中潮,中潮
302,10/30,77.04,6.21,中潮,小潮,小潮
303,10/31,90.11,7.21,小潮,小潮,小潮
304,11/1,103.3,8.21,小潮,小潮,長潮
305,11/2,116.58,9.21,小潮,長潮,若潮
306,11/3,129.91,10.21,長潮,若潮,中潮
307,11/4,143.22,11.21,若潮,中潮,中潮
308,11/5,156.47,12.21,中潮,中潮,中潮
309,11/6,169.57,13.21,中潮,大潮,大潮
310,11/7,182.46,14.21,大潮,大潮,大潮
311,11/8,195.08,15.21,大潮,大潮,大潮
312,11/9,207.39,16.21,大潮,大潮,大潮
313,11/10,219.37,17.21,大潮,中潮,中潮
314,11/11,231.02,18.21,中潮,中潮,中潮
315,11/12,242.39,19.21,中潮,中潮,中潮
316,11/13,253.51,20.21,中潮,小潮,小潮
317,11/14,264.45,21.21,中潮,小潮,小潮
318,11/15,275.3,22.21,小潮,小潮,小潮
319,11/16,286.14,23.21,小潮,小潮,長潮
320,11/17,297.05,24.21,小潮,長潮,若潮
321,11/18,308.11,25.21,長潮,若潮,中潮
322,11/19,319.4,26.21,若潮,中潮,中潮
323,11/20,330.96,27.21,中潮,中潮,中潮
324,11/21,342.85,28.21,中潮,中潮,中潮
325,11/22,355.06,29.21,大潮,大潮,大潮
326,11/23,7.58,0.6,大潮,大潮,大潮
327,11/24,20.38,1.6,大潮,大潮,大潮
328,11/25,33.39,2.6,大潮,大潮,中潮
329,11/26,46.53,3.6,中潮,中潮,中潮
330,11/27,59.74,4.6,中潮,中潮,中潮
331,11/28,72.95,5.6,中潮,小潮,小潮
332,11/29,86.12,6.6,中潮,小潮,小潮
333,11/30,99.21,7.6,小潮,小潮,小潮
334,12/1,112.2,8.6,小潮,長潮,長潮
335,12/2,125.09,9.6,小潮,若潮,若潮
336,12/3,137.86,10.6,長潮,中潮,中潮
337,12/4,150.49,11.6,若潮,中潮,中潮
338,12/5,162.96,12.6,中潮,中潮,中潮
339,12/6,175.23,13.6,中潮,大潮,大潮
340,12/7,187.28,14.6,大潮,大潮,大潮
341,12/8,199.08,15.6,大潮,大潮,大潮
342,12/9,210.62,16.6,大潮,大潮,大潮
343,12/10,221.92,17.6,大潮,中潮,中潮
344,12/11,233.01,18.6,中潮,中潮,中潮
345,12/12,243.93,19.6,中潮,中潮,中潮
346,12/13,254.75,20.6,中潮,小潮,小潮
347,12/14,265.55,21.6,中潮,小潮,小潮
348,12/15,276.42,22.6,小潮,小潮,小潮
349,12/16,287.45,23.6,小潮,小潮,長潮
350,12/17,298.73,24.6,小潮,長潮,若潮
351,12/18,310.34,25.6,長潮,若潮,中潮
352,12/19,322.33,26.6,若潮,中潮,中潮
353,12/20,334.75,27.6,中潮,中潮,中潮
354,12/21,347.58,28.6,中潮,中潮,大潮
355,12/22,0.78,0.06,大潮,大潮,大潮
356,12/23,14.25,1.06,大潮,大潮,大潮
357,12/24,27.88,2.06,大潮,大潮,大潮
358,12/25,41.53,3.06,中潮,中潮,中潮
359,12/26,55.08,4.06,中潮,中潮,中潮
360,12/27,68.47,5.06,中潮,中潮,小潮
361,12/28,81.62,6.06,中潮,小潮,小潮
362,12/29,94.53,7.06,小潮,小潮,小潮
363,12/30,107.2,8.06,小潮,小潮,長潮
364,12/31,119.66,9.06,小潮,長潮,若潮
