,月日,黄経差,月齢,こよみ,気象庁,MIRC
0,1/1,355.1,29.11,大潮,大潮,大潮
1,1/2,9.41,0.66,大潮,大潮,大潮
2,1/3,23.68,1.66,大潮,大潮,大潮
3,1/4,37.73,2.66,大潮,中潮,中潮
4,1/5,51.41,3.66,中潮,中潮,中潮
5,1/6,64.63,4.66,中潮,中潮,中潮
6,1/7,77.38,5.66,中潮,小潮,小潮
7,1/8,89.67,6.66,中潮,小潮,小潮
8,1/9,101.56,7.66,小潮,小潮,小潮
9,1/10,113.11,8.66,小潮,長潮,長潮
10,1/11,124.41,9.66,小潮,若潮,若潮
11,1/12,135.53,10.66,長潮,中潮,中潮
12,1/13,146.52,11.66,若潮,中潮,中潮
13,1/14,157.43,12.66,中潮,中潮,中潮
14,1/15,168.3,13.66,中潮,大潮,大潮
15,1/16,179.15,14.66,大潮,大潮,大潮
16,1/17,190.02,15.66,大潮,大潮,大潮
17,1/18,200.91,16.66,大潮,大潮,大潮
18,1/19,211.86,17.66,大潮,大潮,中潮
19,1/20,222.89,18.66,中潮,中潮,中潮
20,1/21,234.04,19.66,中潮,中潮,中潮
21,1/22,245.37,20.66,中潮,中潮,中潮
22,1/23,256.95,21.66,中潮,小潮,小潮
23,1/24,268.83,22.66,小潮,小潮,小潮
24,1/25,281.1,23.66,小潮,小潮,小潮
25,1/26,293.81,24.66,小潮,長潮,長潮
26,1/27,306.99,25.66,長潮,若潮,若潮
27,1/28,320.62,26.66,若潮,中潮,中潮
28,1/29,334.63,27.66,中潮,中潮,中潮
29,1/30,348.88,28.66,中潮,大潮,大潮
30,1/31,3.19,0.22,大潮,大潮,大潮
31,2/1,17.37,1.22,大潮,大潮,大潮
32,2/2,31.24,2.22,大潮,大潮,中潮
33,2/3,44.68,3.22,中潮,中潮,中潮
34,2/4,57.62,4.22,中潮,中潮,中潮
35,2/5,70.06,5.22,中潮,中潮,小潮
36,2/6,82.05,6.22,中潮,小潮,小潮
37,2/7,93.65,7.22,小潮,小潮,小潮
38,2/8,104.95,8.22,小潮,小潮,長潮
39,2/9,116.02,9.22,小潮,長潮,若潮
40,2/10,126.96,10.22,長潮,若潮,若潮
41,2/11,137.81,11.22,若潮,中潮,中潮
42,2/12,148.65,12.22,中潮,中潮,中潮
43,2/13,159.52,13.22,中潮,中潮,中潮
44,2/14,170.43,14.22,大潮,大潮,大潮
45,2/15,181.43,15.22,大潮,大潮,大潮
46,2/16,192.53,16.22,大潮,大潮,大潮
47,2/17,203.74,17.22,大潮,大潮,大潮
48,2/18,215.09,18.22,中潮,大潮,中潮
49,2/19,226.6,19.22,中潮,中潮,中潮
50,2/20,238.32,20.22,中潮,中潮,中潮
51,2/21,250.29,21.22,中潮,中潮,小潮
52,2/22,262.55,22.22,小潮,小潮,小潮
53,2/23,275.16,23.22,小潮,小潮,小潮
54,2/24,288.14,24.22,小潮,長潮,長潮
55,2/25,301.5,25.22,長潮,若潮,若潮
56,2/26,315.18,26.22,若潮,中潮,中潮
57,2/27,329.1,27.22,中潮,中潮,中潮
58,2/28,343.13,28.22,中潮,中潮,大潮
59,3/1,357.11,29.22,大潮,大潮,大潮
60,3/2,10.89,0.79,大潮,大潮,大潮
61,3/3,24.32,1.79,大潮,大潮,大潮
62,3/4,37.34,2.79,大潮,中潮,中潮
63,3/5,49.9,3.79,中潮,中潮,中潮
64,3/6,62.02,4.79,中潮,中潮,中潮
65,3/7,73.74,5.79,中潮,小潮,小潮
66,3/8,85.13,6.79,中潮,小潮,小潮
67,3/9,96.26,7.79,小潮,小潮,小潮
68,3/10,107.23,8.79,小潮,小潮,長潮
69,3/11,118.11,9.79,小潮,長潮,若潮
70,3/12,128.97,10.79,長潮,若潮,中潮
71,3/13,139.87,11.79,若潮,中潮,中潮
72,3/14,150.86,12.79,中潮,中潮,中潮
73,3/15,161.99,13.79,中潮,中潮,中潮
74,3/16,173.27,14.79,大潮,大潮,大潮
75,3/17,184.73,15.79,大潮,大潮,大潮
76,3/18,196.37,16.79,大潮,大潮,大潮
77,3/19,208.21,17.79,大潮,大潮,大潮
78,3/20,220.25,18.79,中潮,中潮,中潮
79,3/21,232.51,19.79,中潮,中潮,中潮
80,3/22,244.99,20.79,中潮,中潮,中潮
81,3/23,257.71,21.79,中潮,小潮,小潮
82,3/24,270.67,22.79,小潮,小潮,小潮
83,3/25,283.86,23.79,小潮,小潮,長潮
84,3/26,297.24,24.79,小潮,長潮,若潮
85,3/27,310.77,25.79,長潮,若潮,中潮
86,3/28,324.36,26.79,若潮,中潮,中潮
87,3/29,337.91,27.79,中潮,中潮,中潮
88,3/30,351.33,28.79,中潮,大潮,大潮
89,3/31,4.5,0.34,大潮,大潮,大潮
90,4/1,17.36,1.34,大潮,大潮,大潮
91,4/2,29.86,2.34,大潮,大潮,大潮
92,4/3,42.0,3.34,中潮,中潮,中潮
93,4/4,53.78,4.34,中潮,中潮,中潮
94,4/5,65.24,5.34,中潮,中潮,中潮
95,4/6,76.46,6.34,中潮,小潮,小潮
96,4/7,87.49,7.34,小潮,小潮,小潮
97,4/8,98.41,8.34,小潮,小潮,小潮
98,4/9,109.31,9.34,小潮,長潮,長潮
99,4/10,120.25,10.34,長潮,若潮,若潮
100,4/11,131.3,11.34,若潮,若潮,中潮
101,4/12,142.53,12.34,中潮,中潮,中潮
102,4/13,153.97,13.34,中潮,中潮,中潮
103,4/14,165.67,14.34,大潮,中潮,大潮
104,4/15,177.62,15.34,大潮,大潮,大潮
105,4/16,189.85,16.34,大潮,大潮,大潮
106,4/17,202.32,17.34,大潮,大潮,大潮
107,4/18,215.01,18.34,中潮,大潮,中潮
108,4/19,227.9,19.34,中潮,中潮,中潮
109,4/20,240.94,20.34,中潮,中潮,中潮
110,4/21,254.09,21.34,中潮,小潮,小潮
111,4/22,267.32,22.34,小潮,小潮,小潮
112,4/23,280.57,23.34,小潮,小潮,小潮
113,4/24,293.82,24.34,小潮,長潮,長潮
