,Unnamed: 0,月日,黄経差,月齢,こよみ,気象庁,MIRC
0,0,1/1,166.07,13.85,中潮,中潮,大潮
1,1,1/2,180.36,14.85,大潮,大潮,大潮
2,2,1/3,194.57,15.85,大潮,大潮,大潮
3,3,1/4,208.55,16.85,大潮,大潮,大潮
4,4,1/5,222.17,17.85,大潮,中潮,中潮
5,5,1/6,235.36,18.85,中潮,中潮,中潮
6,6,1/7,248.08,19.85,中潮,中潮,小潮
7,7,1/8,260.36,20.85,中潮,小潮,小潮
8,8,1/9,272.24,21.85,中潮,小潮,小潮
9,9,1/10,283.78,22.85,小潮,小潮,長潮
10,10,1/11,295.05,23.85,小潮,長潮,若潮
11,11,1/12,306.12,24.85,小潮,若潮,若潮
12,12,1/13,317.05,25.85,長潮,中潮,中潮
13,13,1/14,327.89,26.85,若潮,中潮,中潮
14,14,1/15,338.69,27.85,中潮,中潮,中潮
15,15,1/16,349.49,28.85,中潮,大潮,大潮
16,16,1/17,0.32,0.03,大潮,大潮,大潮
17,17,1/18,11.22,1.03,大潮,大潮,大潮
18,18,1/19,22.21,2.03,大潮,大潮,大潮
19,19,1/20,33.34,3.03,中潮,大潮,中潮
20,20,1/21,44.64,4.03,中潮,中潮,中潮
21,21,1/22,56.15,5.03,中潮,中潮,中潮
22,22,1/23,67.92,6.03,中潮,中潮,小潮
23,23,1/24,80.01,7.03,小潮,小潮,小潮
24,24,1/25,92.44,8.03,小潮,小潮,小潮
25,25,1/26,105.26,9.03,小潮,小潮,長潮
26,26,1/27,118.46,10.03,長潮,長潮,若潮
27,27,1/28,132.02,11.03,若潮,中潮,中潮
28,28,1/29,145.86,12.03,中潮,中潮,中潮
29,29,1/30,159.87,13.03,中潮,中潮,中潮
30,30,1/31,173.91,14.03,大潮,大潮,大潮
31,31,2/1,187.85,15.03,大潮,大潮,大潮
32,32,2/2,201.53,16.03,大潮,大潮,大潮
33,33,2/3,214.85,17.03,大潮,大潮,中潮
34,34,2/4,227.75,18.03,中潮,中潮,中潮
35,35,2/5,240.21,19.03,中潮,中潮,中潮
36,36,2/6,252.24,20.03,中潮,小潮,小潮
37,37,2/7,263.88,21.03,中潮,小潮,小潮
38,38,2/8,275.2,22.03,小潮,小潮,小潮
39,39,2/9,286.28,23.03,小潮,小潮,長潮
40,40,2/10,297.18,24.03,小潮,長潮,若潮
41,41,2/11,308.0,25.03,長潮,若潮,中潮
42,42,2/12,318.78,26.03,若潮,中潮,中潮
43,43,2/13,329.61,27.03,中潮,中潮,中潮
44,44,2/14,340.52,28.03,中潮,中潮,中潮
45,45,2/15,351.57,29.03,大潮,大潮,大潮
46,46,2/16,2.78,0.25,大潮,大潮,大潮
47,47,2/17,14.17,1.25,大潮,大潮,大潮
48,48,2/18,25.78,2.25,大潮,大潮,大潮
49,49,2/19,37.6,3.25,中潮,中潮,中潮
50,50,2/20,49.64,4.25,中潮,中潮,中潮
51,51,2/21,61.92,5.25,中潮,中潮,中潮
52,52,2/22,74.45,6.25,中潮,小潮,小潮
53,53,2/23,87.23,7.25,小潮,小潮,小潮
54,54,2/24,100.24,8.25,小潮,小潮,小潮
55,55,2/25,113.49,9.25,小潮,長潮,長潮
56,56,2/26,126.93,10.25,長潮,若潮,若潮
57,57,2/27,140.51,11.25,若潮,中潮,中潮
58,58,2/28,154.14,12.25,中潮,中潮,中潮
59,59,3/1,167.74,13.25,中潮,中潮,大潮
60,60,3/2,181.19,14.25,大潮,大潮,大潮
61,61,3/3,194.4,15.25,大潮,大潮,大潮
62,62,3/4,207.29,16.25,大潮,大潮,大潮
63,63,3/5,219.8,17.25,大潮,中潮,中潮
64,64,3/6,231.91,18.25,中潮,中潮,中潮
65,65,3/7,243.65,19.25,中潮,中潮,中潮
66,66,3/8,255.05,20.25,中潮,小潮,小潮
67,67,3/9,266.19,21.25,中潮,小潮,小潮
68,68,3/10,277.13,22.25,小潮,小潮,小潮
69,69,3/11,287.96,23.25,小潮,小潮,長潮
70,70,3/12,298.77,24.25,小潮,長潮,若潮
71,71,3/13,309.64,25.25,長潮,若潮,中潮
72,72,3/14,320.63,26.25,若潮,中潮,中潮
73,73,3/15,331.83,27.25,中潮,中潮,中潮
74,74,3/16,343.26,28.25,中潮,中潮,大潮
75,75,3/17,354.95,29.25,大潮,大潮,大潮
76,76,3/18,6.92,0.58,大潮,大潮,大潮
77,77,3/19,19.15,1.58,大潮,大潮,大潮
78,78,3/20,31.62,2.58,大潮,大潮,中潮
79,79,3/21,44.29,3.58,中潮,中潮,中潮
80,80,3/22,57.12,4.58,中潮,中潮,中潮
81,81,3/23,70.07,5.58,中潮,中潮,小潮
