月日,黄経差,月齢,こよみ,気象庁,MIRC
3/11,287.96,23.25,小潮,小潮,長潮
3/12,298.77,24.25,小潮,長潮,若潮
3/13,309.64,25.25,長潮,若潮,中潮
3/14,320.63,26.25,若潮,中潮,中潮
3/15,331.83,27.25,中潮,中潮,中潮
3/16,343.26,28.25,中潮,中潮,大潮
3/17,354.95,29.25,大潮,大潮,大潮
3/18,6.92,0.58,大潮,大潮,大潮
3/19,19.15,1.58,大潮,大潮,大潮
3/20,31.62,2.58,大潮,大潮,中潮
3/21,44.29,3.58,中潮,中潮,中潮
3/22,57.12,4.58,中潮,中潮,中潮
3/23,70.07,5.58,中潮,中潮,小潮
3/24,83.13,6.58,中潮,小潮,小潮
3/25,96.25,7.58,小潮,小潮,小潮
3/26,109.43,8.58,小潮,長潮,長潮
3/27,122.63,9.58,小潮,若潮,若潮
3/28,135.83,10.58,長潮,中潮,中潮
3/29,148.98,11.58,若潮,中潮,中潮
3/30,162.03,12.58,中潮,中潮,中潮
3/31,174.9,13.58,中潮,大潮,大潮
4/1,187.55,14.58,大潮,大潮,大潮
4/2,199.91,15.58,大潮,大潮,大潮
4/3,211.95,16.58,大潮,大潮,中潮
4/4,223.66,17.58,大潮,中潮,中潮
4/5,235.08,18.58,中潮,中潮,中潮
4/6,246.24,19.58,中潮,中潮,中潮
4/7,257.21,20.58,中潮,小潮,小潮
4/8,268.06,21.58,中潮,小潮,小潮
4/9,278.9,22.58,小潮,小潮,小潮
4/10,289.79,23.58,小潮,長潮,長潮
4/11,300.85,24.58,小潮,若潮,若潮
4/12,312.13,25.58,長潮,中潮,中潮
4/13,323.72,26.58,若潮,中潮,中潮
4/14,335.65,27.58,中潮,中潮,中潮
4/15,347.93,28.58,中潮,中潮,大潮
4/16,0.56,0.04,大潮,大潮,大潮
4/17,13.47,1.04,大潮,大潮,大潮
4/18,26.61,2.04,大潮,大潮,大潮
4/19,39.88,3.04,中潮,中潮,中潮
4/20,53.2,4.04,中潮,中潮,中潮
4/21,66.5,5.04,中潮,中潮,中潮
4/22,79.73,6.04,中潮,小潮,小潮
4/23,92.86,7.04,小潮,小潮,小潮
4/24,105.88,8.04,小潮,小潮,長潮
4/25,118.78,9.04,小潮,長潮,若潮
4/26,131.56,10.04,長潮,若潮,中潮
4/27,144.19,11.04,若潮,中潮,中潮
4/28,156.67,12.04,中潮,中潮,中潮
4/29,168.95,13.04,中潮,大潮,大潮
4/30,181.01,14.04,大潮,大潮,大潮
5/1,192.83,15.04,大潮,大潮,大潮
5/2,204.4,16.04,大潮,大潮,大潮
5/3,215.72,17.04,大潮,大潮,中潮
5/4,226.84,18.04,中潮,中潮,中潮
5/5,237.79,19.04,中潮,中潮,中潮
5/6,248.65,20.04,中潮,中潮,小潮
5/7,259.48,21.04,中潮,小潮,小潮
5/8,270.39,22.04,小潮,小潮,小潮
5/9,281.46,23.04,小潮,小潮,小潮
5/10,292.78,24.04,小潮,長潮,長潮
5/11,304.42,25.04,長潮,若潮,若潮
5/12,316.46,26.04,若潮,中潮,中潮
5/13,328.93,27.04,中潮,中潮,中潮
5/14,341.81,28.04,中潮,中潮,中潮
5/15,355.07,29.04,大潮,大潮,大潮
5/16,8.6,0.63,大潮,大潮,大潮
5/17,22.31,1.63,大潮,大潮,大潮
5/18,36.05,2.63,大潮,中潮,中潮
5/19,49.72,3.63,中潮,中潮,中潮
5/20,63.22,4.63,中潮,中潮,中潮
5/21,76.51,5.63,中潮,小潮,小潮
5/22,89.56,6.63,中潮,小潮,小潮
5/23,102.36,7.63,小潮,小潮,小潮
5/24,114.93,8.63,小潮,長潮,長潮
5/25,127.28,9.63,小潮,若潮,中潮
5/26,139.41,10.63,長潮,中潮,中潮
5/27,151.35,11.63,若潮,中潮,中潮
5/28,163.08,12.63,中潮,中潮,大潮
5/29,174.62,13.63,中潮,大潮,大潮
5/30,185.97,14.63,大潮,大潮,大潮
5/31,197.14,15.63,大潮,大潮,大潮
6/1,208.16,16.63,大潮,大潮,大潮
6/2,219.06,17.63,大潮,中潮,中潮
6/3,229.9,18.63,中潮,中潮,中潮
6/4,240.73,19.63,中潮,中潮,中潮
6/5,251.65,20.63,中潮,中潮,小潮
6/6,262.71,21.63,中潮,小潮,小潮
6/7,274.03,22.63,小潮,小潮,小潮
6/8,285.66,23.63,小潮,小潮,長潮
6/9,297.7,24.63,小潮,長潮,若潮
6/10,310.19,25.63,長潮,若潮,中潮
6/11,323.14,26.63,若潮,中潮,中潮
6/12,336.53,27.63,中潮,中潮,中潮
6/13,350.27,28.63,中潮,大潮,大潮
6/14,4.26,0.3,大潮,大潮,大潮
6/15,18.34,1.3,大潮,大潮,大潮
6/16,32.36,2.3,大潮,大潮,中潮
6/17,46.2,3.3,中潮,中潮,中潮
6/18,59.76,4.3,中潮,中潮,中潮
6/19,72.99,5.3,中潮,小潮,小潮
6/20,85.87,6.3,中潮,小潮,小潮
6/21,98.4,7.3,小潮,小潮,小潮
6/22,110.61,8.3,小潮,長潮,長潮
6/23,122.55,9.3,小潮,若潮,若潮
6/24,134.23,10.3,長潮,中潮,中潮
6/25,145.71,11.3,若潮,中潮,中潮
6/26,156.99,12.3,中潮,中潮,中潮
6/27,168.13,13.3,中潮,大潮,大潮
6/28,179.14,14.3,大潮,大潮,大潮
6/29,190.06,15.3,大潮,大潮,大潮
6/30,200.91,16.3,大潮,大潮,大潮
7/1,211.74,17.3,大潮,大潮,中潮
7/2,222.61,18.3,中潮,中潮,中潮
7/3,233.56,19.3,中潮,中潮,中潮
7/4,244.66,20.3,中潮,中潮,中潮
7/5,255.99,21.3,中潮,小潮,小潮
7/6,267.61,22.3,小潮,小潮,小潮
7/7,279.6,23.3,小潮,小潮,小潮
7/8,292.01,24.3,小潮,長潮,長潮
7/9,304.87,25.3,長潮,若潮,若潮
7/10,318.18,26.3,若潮,中潮,中潮
7/11,331.9,27.3,中潮,中潮,中潮
7/12,345.92,28.3,中潮,中潮,大潮
7/13,0.12,0.01,大潮,大潮,大潮
7/14,14.34,1.01,大潮,大潮,大潮
7/15,28.43,2.01,大潮,大潮,大潮
7/16,42.24,3.01,中潮,中潮,中潮
7/17,55.7,4.01,中潮,中潮,中潮
7/18,68.75,5.01,中潮,中潮,小潮
7/19,81.37,6.01,中潮,小潮,小潮
7/20,93.59,7.01,小潮,小潮,小潮
7/21,105.45,8.01,小潮,小潮,長潮
7/22,117.01,9.01,小潮,長潮,若潮
7/23,128.32,10.01,長潮,若潮,中潮
7/24,139.44,11.01,若潮,中潮,中潮
7/25,150.42,12.01,中潮,中潮,中潮
7/26,161.32,13.01,中潮,中潮,中潮
7/27,172.17,14.01,大潮,大潮,大潮
7/28,183.01,15.01,大潮,大潮,大潮
7/29,193.89,16.01,大潮,大潮,大潮
7/30,204.84,17.01,大潮,大潮,大潮
7/31,215.9,18.01,中潮,大潮,中潮
8/1,227.11,19.01,中潮,中潮,中潮
8/2,238.53,20.01,中潮,中潮,中潮
8/3,250.2,21.01,中潮,中潮,小潮
8/4,262.18,22.01,小潮,小潮,小潮
8/5,274.51,23.01,小潮,小潮,小潮
8/6,287.23,24.01,小潮,小潮,長潮
8/7,300.34,25.01,長潮,若潮,若潮
8/8,313.84,26.01,若潮,中潮,中潮
8/9,327.67,27.01,中潮,中潮,中潮
8/10,341.73,28.01,中潮,中潮,中潮
8/11,355.89,29.01,大潮,大潮,大潮
8/12,10.01,0.71,大潮,大潮,大潮
8/13,23.93,1.71,大潮,大潮,大潮
8/14,37.54,2.71,大潮,中潮,中潮
8/15,50.73,3.71,中潮,中潮,中潮
8/16,63.48,4.71,中潮,中潮,中潮
8/17,75.78,5.71,中潮,小潮,小潮
8/18,87.66,6.71,中潮,小潮,小潮
8/19,99.19,7.71,小潮,小潮,小潮
8/20,110.44,8.71,小潮,長潮,長潮
8/21,121.47,9.71,小潮,若潮,若潮
8/22,132.37,10.71,長潮,中潮,中潮
8/23,143.21,11.71,若潮,中潮,中潮
8/24,154.04,12.71,中潮,中潮,中潮
8/25,164.91,13.71,中潮,中潮,大潮
8/26,175.88,14.71,大潮,大潮,大潮
8/27,186.98,15.71,大潮,大潮,大潮
8/28,198.23,16.71,大潮,大潮,大潮
8/29,209.66,17.71,大潮,大潮,大潮
8/30,221.29,18.71,中潮,中潮,中潮
8/31,233.13,19.71,中潮,中潮,中潮
9/1,245.22,20.71,中潮,中潮,中潮
9/2,257.57,21.71,中潮,小潮,小潮
9/3,270.2,22.71,小潮,小潮,小潮
9/4,283.13,23.71,小潮,小潮,長潮
9/5,296.36,24.71,小潮,長潮,若潮
9/6,309.86,25.71,長潮,若潮,中潮
9/7,323.59,26.71,若潮,中潮,中潮
9/8,337.46,27.71,中潮,中潮,中潮
9/9,351.35,28.71,中潮,大潮,大潮
9/10,5.13,0.37,大潮,大潮,大潮
9/11,18.68,1.37,大潮,大潮,大潮
9/12,31.89,2.37,大潮,大潮,中潮
9/13,44.68,3.37,中潮,中潮,中潮
9/14,57.03,4.37,中潮,中潮,中潮
9/15,68.96,5.37,中潮,中潮,小潮
9/16,80.5,6.37,中潮,小潮,小潮
9/17,91.74,7.37,小潮,小潮,小潮
9/18,102.75,8.37,小潮,小潮,小潮
9/19,113.62,9.37,小潮,長潮,長潮
9/20,124.43,10.37,長潮,若潮,若潮
9/21,135.27,11.37,若潮,中潮,中潮
9/22,146.21,12.37,中潮,中潮,中潮
9/23,157.29,13.37,中潮,中潮,中潮
9/24,168.57,14.37,大潮,大潮,大潮
9/25,180.06,15.37,大潮,大潮,大潮
9/26,191.78,16.37,大潮,大潮,大潮
9/27,203.72,17.37,大潮,大潮,大潮
9/28,215.88,18.37,中潮,大潮,中潮
9/29,228.22,19.37,中潮,中潮,中潮
9/30,240.76,20.37,中潮,中潮,中潮
10/1,253.46,21.37,中潮,小潮,小潮
10/2,266.34,22.37,小潮,小潮,小潮
10/3,279.39,23.37,小潮,小潮,小潮
10/4,292.6,24.37,小潮,長潮,長潮
10/5,305.96,25.37,長潮,若潮,若潮
10/6,319.41,26.37,若潮,中潮,中潮
10/7,332.89,27.37,中潮,中潮,中潮
10/8,346.31,28.37,中潮,中潮,大潮
10/9,359.57,29.37,大潮,大潮,大潮
10/10,12.57,0.97,大潮,大潮,大潮
10/11,25.24,1.97,大潮,大潮,大潮
10/12,37.53,2.97,大潮,中潮,中潮
10/13,49.43,3.97,中潮,中潮,中潮
10/14,60.96,4.97,中潮,中潮,中潮
10/15,72.19,5.97,中潮,小潮,小潮
10/16,83.19,6.97,中潮,小潮,小潮
10/17,94.05,7.97,小潮,小潮,小潮
10/18,104.85,8.97,小潮,小潮,長潮
10/19,115.7,9.97,小潮,長潮,若潮
10/20,126.67,10.97,長潮,若潮,若潮
10/21,137.84,11.97,若潮,中潮,中潮
10/22,149.26,12.97,中潮,中潮,中潮
10/23,160.97,13.97,中潮,中潮,中潮
10/24,172.99,14.97,大潮,大潮,大潮
10/25,185.28,15.97,大潮,大潮,大潮
10/26,197.83,16.97,大潮,大潮,大潮
10/27,210.57,17.97,大潮,大潮,大潮
10/28,223.46,18.97,中潮,中潮,中潮
10/29,236.44,19.97,中潮,中潮,中潮
10/30,249.48,20.97,中潮,中潮,小潮
10/31,262.55,21.97,中潮,小潮,小潮
11/1,275.63,22.97,小潮,小潮,小潮
11/2,288.73,23.97,小潮,長潮,長潮
11/3,301.81,24.97,小潮,若潮,若潮
11/4,314.86,25.97,長潮,中潮,中潮
11/5,327.82,26.97,若潮,中潮,中潮
11/6,340.64,27.97,中潮,中潮,中潮
11/7,353.25,28.97,中潮,大潮,大潮
11/8,5.61,0.46,大潮,大潮,大潮
11/9,17.68,1.46,大潮,大潮,大潮
11/10,29.43,2.46,大潮,大潮,大潮
11/11,40.87,3.46,中潮,中潮,中潮
11/12,52.05,4.46,中潮,中潮,中潮
11/13,63.02,5.46,中潮,中潮,中潮
11/14,73.86,6.46,中潮,小潮,小潮
11/15,84.64,7.46,小潮,小潮,小潮
11/16,95.47,8.46,小潮,小潮,小潮
11/17,106.43,9.46,小潮,小潮,長潮
11/18,117.61,10.46,長潮,長潮,若潮
11/19,129.08,11.46,若潮,若潮,中潮
11/20,140.9,12.46,中潮,中潮,中潮
11/21,153.09,13.46,中潮,中潮,中潮
11/22,165.66,14.46,大潮,中潮,大潮
11/23,178.56,15.46,大潮,大潮,大潮
11/24,191.71,16.46,大潮,大潮,大潮
11/25,205.05,17.46,大潮,大潮,大潮
11/26,218.45,18.46,中潮,中潮,中潮
11/27,231.86,19.46,中潮,中潮,中潮
11/28,245.18,20.46,中潮,中潮,中潮
11/29,258.39,21.46,中潮,小潮,小潮
11/30,271.45,22.46,小潮,小潮,小潮
12/1,284.36,23.46,小潮,小潮,長潮
12/2,297.1,24.46,小潮,長潮,若潮
12/3,309.66,25.46,長潮,若潮,中潮
12/4,322.04,26.46,若潮,中潮,中潮
12/5,334.22,27.46,中潮,中潮,中潮
12/6,346.18,28.46,中潮,中潮,大潮
12/7,357.9,29.46,大潮,大潮,大潮
12/8,9.4,0.82,大潮,大潮,大潮
12/9,20.67,1.82,大潮,大潮,大潮
12/10,31.74,2.82,大潮,大潮,中潮
12/11,42.65,3.82,中潮,中潮,中潮
12/12,53.45,4.82,中潮,中潮,中潮
12/13,64.21,5.82,中潮,中潮,中潮
12/14,75.02,6.82,中潮,小潮,小潮
12/15,85.94,7.82,小潮,小潮,小潮
12/16,97.07,8.82,小潮,小潮,小潮
12/17,108.49,9.82,小潮,長潮,長潮
12/18,120.27,10.82,長潮,若潮,若潮
12/19,132.47,11.82,若潮,中潮,中潮
12/20,145.1,12.82,中潮,中潮,中潮
12/21,158.16,13.82,中潮,中潮,中潮
12/22,171.58,14.82,大潮,大潮,大潮
12/23,185.27,15.82,大潮,大潮,大潮
12/24,199.1,16.82,大潮,大潮,大潮
12/25,212.96,17.82,大潮,大潮,中潮
12/26,226.7,18.82,中潮,中潮,中潮
12/27,240.25,19.82,中潮,中潮,中潮
12/28,253.53,20.82,中潮,小潮,小潮
12/29,266.5,21.82,中潮,小潮,小潮
12/30,279.17,22.82,小潮,小潮,小潮
12/31,291.53,23.82,小潮,長潮,長潮
