月日,黄経差,月齢,こよみ,気象庁,MIRC
1/1,166.07,13.85,中潮,中潮,大潮
1/2,180.36,14.85,大潮,大潮,大潮
1/3,194.57,15.85,大潮,大潮,大潮
1/4,208.55,16.85,大潮,大潮,大潮
1/5,222.17,17.85,大潮,中潮,中潮
1/6,235.36,18.85,中潮,中潮,中潮
1/7,248.08,19.85,中潮,中潮,小潮
1/8,260.36,20.85,中潮,小潮,小潮
1/9,272.24,21.85,中潮,小潮,小潮
1/10,283.78,22.85,小潮,小潮,長潮
1/11,295.05,23.85,小潮,長潮,若潮
1/12,306.12,24.85,小潮,若潮,若潮
1/13,317.05,25.85,長潮,中潮,中潮
1/14,327.89,26.85,若潮,中潮,中潮
1/15,338.69,27.85,中潮,中潮,中潮
1/16,349.49,28.85,中潮,大潮,大潮
1/17,0.32,0.03,大潮,大潮,大潮
1/18,11.22,1.03,大潮,大潮,大潮
1/19,22.21,2.03,大潮,大潮,大潮
1/20,33.34,3.03,中潮,大潮,中潮
1/21,44.64,4.03,中潮,中潮,中潮
1/22,56.15,5.03,中潮,中潮,中潮
1/23,67.92,6.03,中潮,中潮,小潮
1/24,80.01,7.03,小潮,小潮,小潮
1/25,92.44,8.03,小潮,小潮,小潮
1/26,105.26,9.03,小潮,小潮,長潮
1/27,118.46,10.03,長潮,長潮,若潮
1/28,132.02,11.03,若潮,中潮,中潮
1/29,145.86,12.03,中潮,中潮,中潮
1/30,159.87,13.03,中潮,中潮,中潮
1/31,173.91,14.03,大潮,大潮,大潮
2/1,187.85,15.03,大潮,大潮,大潮
2/2,201.53,16.03,大潮,大潮,大潮
2/3,214.85,17.03,大潮,大潮,中潮
2/4,227.75,18.03,中潮,中潮,中潮
2/5,240.21,19.03,中潮,中潮,中潮
2/6,252.24,20.03,中潮,小潮,小潮
2/7,263.88,21.03,中潮,小潮,小潮
2/8,275.2,22.03,小潮,小潮,小潮
2/9,286.28,23.03,小潮,小潮,長潮
2/10,297.18,24.03,小潮,長潮,若潮
2/11,308.0,25.03,長潮,若潮,中潮
2/12,318.78,26.03,若潮,中潮,中潮
2/13,329.61,27.03,中潮,中潮,中潮
2/14,340.52,28.03,中潮,中潮,中潮
2/15,351.57,29.03,大潮,大潮,大潮
2/16,2.78,0.25,大潮,大潮,大潮
2/17,14.17,1.25,大潮,大潮,大潮
2/18,25.78,2.25,大潮,大潮,大潮
2/19,37.6,3.25,中潮,中潮,中潮
2/20,49.64,4.25,中潮,中潮,中潮
2/21,61.92,5.25,中潮,中潮,中潮
2/22,74.45,6.25,中潮,小潮,小潮
2/23,87.23,7.25,小潮,小潮,小潮
2/24,100.24,8.25,小潮,小潮,小潮
2/25,113.49,9.25,小潮,長潮,長潮
2/26,126.93,10.25,長潮,若潮,若潮
2/27,140.51,11.25,若潮,中潮,中潮
2/28,154.14,12.25,中潮,中潮,中潮
3/1,167.74,13.25,中潮,中潮,大潮
3/2,181.19,14.25,大潮,大潮,大潮
3/3,194.4,15.25,大潮,大潮,大潮
3/4,207.29,16.25,大潮,大潮,大潮
3/5,219.8,17.25,大潮,中潮,中潮
3/6,231.91,18.25,中潮,中潮,中潮
3/7,243.65,19.25,中潮,中潮,中潮
3/8,255.05,20.25,中潮,小潮,小潮
3/9,266.19,21.25,中潮,小潮,小潮
3/10,277.13,22.25,小潮,小潮,小潮
