月日,黄経差,月齢,こよみ,気象庁,MIRC
2/19,308.82,25.22,長潮,若潮,中潮
2/20,320.41,26.22,若潮,中潮,中潮
2/21,331.83,27.22,中潮,中潮,中潮
2/22,343.09,28.22,中潮,中潮,大潮
2/23,354.23,29.22,大潮,大潮,大潮
2/24,5.26,0.48,大潮,大潮,大潮
2/25,16.21,1.48,大潮,大潮,大潮
2/26,27.09,2.48,大潮,大潮,大潮
2/27,37.94,3.48,中潮,中潮,中潮
2/28,48.79,4.48,中潮,中潮,中潮
2/29,59.7,5.48,中潮,中潮,中潮
3/1,70.72,6.48,中潮,中潮,小潮
3/2,81.92,7.48,小潮,小潮,小潮
3/3,93.4,8.48,小潮,小潮,小潮
3/4,105.23,9.48,小潮,小潮,長潮
3/5,117.48,10.48,長潮,長潮,若潮
3/6,130.21,11.48,若潮,若潮,中潮
3/7,143.45,12.48,中潮,中潮,中潮
3/8,157.14,13.48,中潮,中潮,中潮
3/9,171.21,14.48,大潮,大潮,大潮
3/10,185.49,15.48,大潮,大潮,大潮
3/11,199.81,16.48,大潮,大潮,大潮
3/12,213.97,17.48,大潮,大潮,中潮
3/13,227.8,18.48,中潮,中潮,中潮
3/14,241.22,19.48,中潮,中潮,中潮
3/15,254.16,20.48,中潮,小潮,小潮
3/16,266.66,21.48,中潮,小潮,小潮
3/17,278.73,22.48,小潮,小潮,小潮
3/18,290.47,23.48,小潮,長潮,長潮
3/19,301.92,24.48,小潮,若潮,若潮
3/20,313.16,25.48,長潮,中潮,中潮
3/21,324.26,26.48,若潮,中潮,中潮
3/22,335.25,27.48,中潮,中潮,中潮
3/23,346.18,28.48,中潮,中潮,大潮
3/24,357.07,29.48,大潮,大潮,大潮
3/25,7.94,0.73,大潮,大潮,大潮
3/26,18.82,1.73,大潮,大潮,大潮
3/27,29.74,2.73,大潮,大潮,大潮
3/28,40.72,3.73,中潮,中潮,中潮
3/29,51.8,4.73,中潮,中潮,中潮
3/30,63.05,5.73,中潮,中潮,中潮
3/31,74.53,6.73,中潮,小潮,小潮
4/1,86.32,7.73,小潮,小潮,小潮
4/2,98.48,8.73,小潮,小潮,小潮
4/3,111.08,9.73,小潮,長潮,長潮
4/4,124.15,10.73,長潮,若潮,若潮
4/5,137.69,11.73,若潮,中潮,中潮
4/6,151.65,12.73,中潮,中潮,中潮
4/7,165.89,13.73,中潮,中潮,大潮
4/8,180.25,14.73,大潮,大潮,大潮
4/9,194.53,15.73,大潮,大潮,大潮
4/10,208.55,16.73,大潮,大潮,大潮
4/11,222.17,17.73,大潮,中潮,中潮
4/12,235.32,18.73,中潮,中潮,中潮
4/13,247.98,19.73,中潮,中潮,小潮
4/14,260.18,20.73,中潮,小潮,小潮
4/15,271.97,21.73,中潮,小潮,小潮
4/16,283.44,22.73,小潮,小潮,長潮
4/17,294.66,23.73,小潮,長潮,長潮
4/18,305.7,24.73,小潮,若潮,若潮
4/19,316.64,25.73,長潮,中潮,中潮
4/20,327.52,26.73,若潮,中潮,中潮
4/21,338.4,27.73,中潮,中潮,中潮
4/22,349.3,28.73,中潮,大潮,大潮
4/23,0.26,0.02,大潮,大潮,大潮
4/24,11.29,1.02,大潮,大潮,大潮
4/25,22.43,2.02,大潮,大潮,大潮
4/26,33.69,3.02,中潮,大潮,中潮
4/27,45.11,4.02,中潮,中潮,中潮
4/28,56.74,5.02,中潮,中潮,中潮
4/29,68.62,6.02,中潮,中潮,小潮
4/30,80.82,7.02,小潮,小潮,小潮
5/1,93.36,8.02,小潮,小潮,小潮
5/2,106.3,9.02,小潮,小潮,長潮
5/3,119.63,10.02,長潮,長潮,若潮
5/4,133.31,11.02,若潮,中潮,中潮
5/5,147.27,12.02,中潮,中潮,中潮
5/6,161.38,13.02,中潮,中潮,中潮
5/7,175.48,14.02,大潮,大潮,大潮
5/8,189.4,15.02,大潮,大潮,大潮
5/9,203.02,16.02,大潮,大潮,大潮
5/10,216.23,17.02,大潮,中潮,中潮
5/11,229.0,18.02,中潮,中潮,中潮
5/12,241.32,19.02,中潮,中潮,中潮
5/13,253.22,20.02,中潮,小潮,小潮
5/14,264.78,21.02,中潮,小潮,小潮
5/15,276.06,22.02,小潮,小潮,小潮
5/16,287.13,23.02,小潮,小潮,長潮
5/17,298.09,24.02,小潮,長潮,若潮
5/18,308.98,25.02,長潮,若潮,中潮
5/19,319.89,26.02,若潮,中潮,中潮
5/20,330.85,27.02,中潮,中潮,中潮
5/21,341.91,28.02,中潮,中潮,中潮
5/22,353.1,29.02,大潮,大潮,大潮
5/23,4.44,0.39,大潮,大潮,大潮
5/24,15.96,1.39,大潮,大潮,大潮
5/25,27.67,2.39,大潮,大潮,大潮
5/26,39.59,3.39,中潮,中潮,中潮
5/27,51.74,4.39,中潮,中潮,中潮
5/28,64.14,5.39,中潮,中潮,中潮
5/29,76.8,6.39,中潮,小潮,小潮
5/30,89.73,7.39,小潮,小潮,小潮
5/31,102.92,8.39,小潮,小潮,小潮
6/1,116.35,9.39,小潮,長潮,若潮
6/2,129.96,10.39,長潮,若潮,中潮
6/3,143.66,11.39,若潮,中潮,中潮
6/4,157.36,12.39,中潮,中潮,中潮
6/5,170.95,13.39,中潮,大潮,大潮
6/6,184.31,14.39,大潮,大潮,大潮
6/7,197.37,15.39,大潮,大潮,大潮
6/8,210.08,16.39,大潮,大潮,大潮
6/9,222.4,17.39,大潮,中潮,中潮
6/10,234.35,18.39,中潮,中潮,中潮
6/11,245.97,19.39,中潮,中潮,中潮
6/12,257.31,20.39,中潮,小潮,小潮
6/13,268.44,21.39,中潮,小潮,小潮
6/14,279.43,22.39,小潮,小潮,小潮
6/15,290.35,23.39,小潮,長潮,長潮
6/16,301.29,24.39,小潮,若潮,若潮
6/17,312.3,25.39,長潮,中潮,中潮
6/18,323.45,26.39,若潮,中潮,中潮
6/19,334.79,27.39,中潮,中潮,中潮
6/20,346.36,28.39,中潮,中潮,大潮
6/21,358.16,29.39,大潮,大潮,大潮
6/22,10.22,0.85,大潮,大潮,大潮
6/23,22.53,1.85,大潮,大潮,大潮
6/24,35.08,2.85,大潮,大潮,中潮
6/25,47.84,3.85,中潮,中潮,中潮
6/26,60.78,4.85,中潮,中潮,中潮
6/27,73.88,5.85,中潮,小潮,小潮
6/28,87.09,6.85,中潮,小潮,小潮
6/29,100.38,7.85,小潮,小潮,小潮
6/30,113.71,8.85,小潮,長潮,長潮
7/1,127.02,9.85,小潮,若潮,中潮
7/2,140.27,10.85,長潮,中潮,中潮
7/3,153.4,11.85,若潮,中潮,中潮
7/4,166.36,12.85,中潮,中潮,大潮
7/5,179.09,13.85,中潮,大潮,大潮
7/6,191.55,14.85,大潮,大潮,大潮
7/7,203.72,15.85,大潮,大潮,大潮
7/8,215.6,16.85,大潮,大潮,中潮
7/9,227.19,17.85,大潮,中潮,中潮
7/10,238.53,18.85,中潮,中潮,中潮
7/11,249.67,19.85,中潮,中潮,小潮
7/12,260.67,20.85,中潮,小潮,小潮
7/13,271.6,21.85,中潮,小潮,小潮
7/14,282.54,22.85,小潮,小潮,小潮
7/15,293.57,23.85,小潮,長潮,長潮
7/16,304.77,24.85,小潮,若潮,若潮
7/17,316.19,25.85,長潮,中潮,中潮
7/18,327.91,26.85,若潮,中潮,中潮
7/19,339.95,27.85,中潮,中潮,中潮
7/20,352.33,28.85,中潮,大潮,大潮
7/21,5.04,0.39,大潮,大潮,大潮
7/22,18.03,1.39,大潮,大潮,大潮
7/23,31.25,2.39,大潮,大潮,中潮
7/24,44.61,3.39,中潮,中潮,中潮
7/25,58.02,4.39,中潮,中潮,中潮
7/26,71.42,5.39,中潮,中潮,小潮
7/27,84.74,6.39,中潮,小潮,小潮
7/28,97.93,7.39,小潮,小潮,小潮
7/29,110.98,8.39,小潮,長潮,長潮
7/30,123.86,9.39,小潮,若潮,若潮
7/31,136.56,10.39,長潮,中潮,中潮
8/1,149.09,11.39,若潮,中潮,中潮
8/2,161.41,12.39,中潮,中潮,中潮
8/3,173.53,13.39,中潮,大潮,大潮
8/4,185.44,14.39,大潮,大潮,大潮
8/5,197.12,15.39,大潮,大潮,大潮
8/6,208.59,16.39,大潮,大潮,大潮
8/7,219.85,17.39,大潮,中潮,中潮
8/8,230.94,18.39,中潮,中潮,中潮
8/9,241.9,19.39,中潮,中潮,中潮
8/10,252.81,20.39,中潮,小潮,小潮
8/11,263.72,21.39,中潮,小潮,小潮
8/12,274.72,22.39,小潮,小潮,小潮
8/13,285.89,23.39,小潮,小潮,長潮
8/14,297.32,24.39,小潮,長潮,若潮
8/15,309.08,25.39,長潮,若潮,中潮
8/16,321.23,26.39,若潮,中潮,中潮
8/17,333.81,27.39,中潮,中潮,中潮
8/18,346.81,28.39,中潮,中潮,大潮
8/19,0.17,0.01,大潮,大潮,大潮
8/20,13.82,1.01,大潮,大潮,大潮
8/21,27.62,2.01,大潮,大潮,大潮
8/22,41.43,3.01,中潮,中潮,中潮
8/23,55.14,4.01,中潮,中潮,中潮
8/24,68.65,5.01,中潮,中潮,小潮
8/25,81.89,6.01,中潮,小潮,小潮
8/26,94.85,7.01,小潮,小潮,小潮
8/27,107.52,8.01,小潮,小潮,長潮
8/28,119.93,9.01,小潮,長潮,若潮
8/29,132.1,10.01,長潮,中潮,中潮
8/30,144.07,11.01,若潮,中潮,中潮
8/31,155.84,12.01,中潮,中潮,中潮
9/1,167.45,13.01,中潮,中潮,大潮
9/2,178.88,14.01,大潮,大潮,大潮
9/3,190.16,15.01,大潮,大潮,大潮
9/4,201.28,16.01,大潮,大潮,大潮
9/5,212.29,17.01,大潮,大潮,中潮
9/6,223.19,18.01,中潮,中潮,中潮
9/7,234.05,19.01,中潮,中潮,中潮
9/8,244.92,20.01,中潮,中潮,中潮
9/9,255.87,21.01,中潮,小潮,小潮
9/10,266.98,22.01,小潮,小潮,小潮
9/11,278.35,23.01,小潮,小潮,小潮
9/12,290.06,24.01,小潮,長潮,長潮
9/13,302.19,25.01,長潮,若潮,若潮
9/14,314.78,26.01,若潮,中潮,中潮
9/15,327.87,27.01,中潮,中潮,中潮
9/16,341.4,28.01,中潮,中潮,中潮
9/17,355.31,29.01,大潮,大潮,大潮
9/18,9.43,0.67,大潮,大潮,大潮
9/19,23.6,1.67,大潮,大潮,大潮
9/20,37.65,2.67,大潮,中潮,中潮
9/21,51.44,3.67,中潮,中潮,中潮
9/22,64.88,4.67,中潮,中潮,中潮
9/23,77.92,5.67,中潮,小潮,小潮
9/24,90.56,6.67,中潮,小潮,小潮
9/25,102.86,7.67,小潮,小潮,小潮
9/26,114.84,8.67,小潮,長潮,長潮
9/27,126.56,9.67,小潮,若潮,若潮
9/28,138.08,10.67,長潮,中潮,中潮
9/29,149.42,11.67,若潮,中潮,中潮
9/30,160.63,12.67,中潮,中潮,中潮
10/1,171.71,13.67,中潮,大潮,大潮
10/2,182.7,14.67,大潮,大潮,大潮
10/3,193.61,15.67,大潮,大潮,大潮
10/4,204.47,16.67,大潮,大潮,大潮
10/5,215.3,17.67,大潮,大潮,中潮
10/6,226.17,18.67,中潮,中潮,中潮
10/7,237.11,19.67,中潮,中潮,中潮
10/8,248.2,20.67,中潮,中潮,小潮
10/9,259.52,21.67,中潮,小潮,小潮
10/10,271.15,22.67,小潮,小潮,小潮
10/11,283.17,23.67,小潮,小潮,長潮
10/12,295.65,24.67,小潮,長潮,若潮
10/13,308.62,25.67,長潮,若潮,中潮
10/14,322.08,26.67,若潮,中潮,中潮
10/15,335.97,27.67,中潮,中潮,中潮
10/16,350.15,28.67,中潮,大潮,大潮
10/17,4.47,0.31,大潮,大潮,大潮
10/18,18.72,1.31,大潮,大潮,大潮
10/19,32.75,2.31,大潮,大潮,中潮
10/20,46.42,3.31,中潮,中潮,中潮
10/21,59.66,4.31,中潮,中潮,中潮
10/22,72.44,5.31,中潮,小潮,小潮
10/23,84.78,6.31,中潮,小潮,小潮
10/24,96.74,7.31,小潮,小潮,小潮
10/25,108.38,8.31,小潮,長潮,長潮
10/26,119.76,9.31,小潮,長潮,若潮
10/27,130.94,10.31,長潮,若潮,中潮
10/28,141.98,11.31,若潮,中潮,中潮
10/29,152.93,12.31,中潮,中潮,中潮
10/30,163.81,13.31,中潮,中潮,大潮
10/31,174.66,14.31,大潮,大潮,大潮
11/1,185.51,15.31,大潮,大潮,大潮
11/2,196.38,16.31,大潮,大潮,大潮
11/3,207.32,17.31,大潮,大潮,大潮
11/4,218.35,18.31,中潮,中潮,中潮
11/5,229.52,19.31,中潮,中潮,中潮
11/6,240.9,20.31,中潮,中潮,中潮
11/7,252.54,21.31,中潮,小潮,小潮
11/8,264.51,22.31,小潮,小潮,小潮
11/9,276.86,23.31,小潮,小潮,小潮
11/10,289.64,24.31,小潮,長潮,長潮
11/11,302.85,25.31,長潮,若潮,若潮
11/12,316.47,26.31,若潮,中潮,中潮
11/13,330.42,27.31,中潮,中潮,中潮
11/14,344.57,28.31,中潮,中潮,大潮
11/15,358.75,29.31,大潮,大潮,大潮
11/16,12.81,0.91,大潮,大潮,大潮
11/17,26.58,1.91,大潮,大潮,大潮
11/18,39.97,2.91,大潮,中潮,中潮
11/19,52.92,3.91,中潮,中潮,中潮
11/20,65.41,4.91,中潮,中潮,中潮
11/21,77.48,5.91,中潮,小潮,小潮
11/22,89.16,6.91,中潮,小潮,小潮
11/23,100.53,7.91,小潮,小潮,小潮
11/24,111.67,8.91,小潮,長潮,長潮
11/25,122.63,9.91,小潮,若潮,若潮
11/26,133.5,10.91,長潮,中潮,中潮
11/27,144.32,11.91,若潮,中潮,中潮
11/28,155.16,12.91,中潮,中潮,中潮
11/29,166.04,13.91,中潮,中潮,大潮
11/30,177.01,14.91,大潮,大潮,大潮
12/1,188.1,15.91,大潮,大潮,大潮
12/2,199.33,16.91,大潮,大潮,大潮
12/3,210.73,17.91,大潮,大潮,大潮
12/4,222.33,18.91,中潮,中潮,中潮
12/5,234.16,19.91,中潮,中潮,中潮
12/6,246.24,20.91,中潮,中潮,中潮
12/7,258.6,21.91,中潮,小潮,小潮
12/8,271.28,22.91,小潮,小潮,小潮
12/9,284.26,23.91,小潮,小潮,長潮
12/10,297.55,24.91,小潮,長潮,若潮
12/11,311.1,25.91,長潮,若潮,中潮
12/12,324.84,26.91,若潮,中潮,中潮
12/13,338.66,27.91,中潮,中潮,中潮
12/14,352.44,28.91,中潮,大潮,大潮
12/15,6.06,0.45,大潮,大潮,大潮
12/16,19.4,1.45,大潮,大潮,大潮
12/17,32.39,2.45,大潮,大潮,中潮
12/18,44.98,3.45,中潮,中潮,中潮
12/19,57.15,4.45,中潮,中潮,中潮
12/20,68.93,5.45,中潮,中潮,小潮
12/21,80.36,6.45,中潮,小潮,小潮
12/22,91.53,7.45,小潮,小潮,小潮
12/23,102.49,8.45,小潮,小潮,小潮
12/24,113.34,9.45,小潮,長潮,長潮
12/25,124.14,10.45,長潮,若潮,若潮
12/26,134.98,11.45,若潮,中潮,中潮
12/27,145.92,12.45,中潮,中潮,中潮
12/28,157.0,13.45,中潮,中潮,中潮
12/29,168.28,14.45,大潮,大潮,大潮
12/30,179.77,15.45,大潮,大潮,大潮
12/31,191.5,16.45,大潮,大潮,大潮
