月日,黄経差,月齢,こよみ,気象庁,MIRC
1/1,67.49,5.91,中潮,中潮,小潮
1/2,78.35,6.91,中潮,小潮,小潮
1/3,89.2,7.91,小潮,小潮,小潮
1/4,100.14,8.91,小潮,小潮,小潮
1/5,111.24,9.91,小潮,長潮,長潮
1/6,122.56,10.91,長潮,若潮,若潮
1/7,134.18,11.91,若潮,中潮,中潮
1/8,146.15,12.91,中潮,中潮,中潮
1/9,158.47,13.91,中潮,中潮,中潮
1/10,171.16,14.91,大潮,大潮,大潮
1/11,184.18,15.91,大潮,大潮,大潮
1/12,197.46,16.91,大潮,大潮,大潮
1/13,210.91,17.91,大潮,大潮,大潮
1/14,224.43,18.91,中潮,中潮,中潮
1/15,237.94,19.91,中潮,中潮,中潮
1/16,251.34,20.91,中潮,中潮,小潮
1/17,264.56,21.91,中潮,小潮,小潮
1/18,277.58,22.91,小潮,小潮,小潮
1/19,290.37,23.91,小潮,長潮,長潮
1/20,302.93,24.91,小潮,若潮,若潮
1/21,315.27,25.91,長潮,中潮,中潮
1/22,327.38,26.91,若潮,中潮,中潮
1/23,339.3,27.91,中潮,中潮,中潮
1/24,351.01,28.91,中潮,大潮,大潮
1/25,2.53,0.22,大潮,大潮,大潮
1/26,13.87,1.22,大潮,大潮,大潮
1/27,25.03,2.22,大潮,大潮,大潮
1/28,36.06,3.22,中潮,中潮,中潮
1/29,46.97,4.22,中潮,中潮,中潮
1/30,57.82,5.22,中潮,中潮,中潮
1/31,68.66,6.22,中潮,中潮,小潮
2/1,79.57,7.22,小潮,小潮,小潮
2/2,90.61,8.22,小潮,小潮,小潮
2/3,101.86,9.22,小潮,小潮,小潮
2/4,113.42,10.22,長潮,長潮,長潮
2/5,125.35,11.22,若潮,若潮,若潮
2/6,137.71,12.22,中潮,中潮,中潮
2/7,150.51,13.22,中潮,中潮,中潮
2/8,163.76,14.22,大潮,中潮,大潮
2/9,177.38,15.22,大潮,大潮,大潮
2/10,191.27,16.22,大潮,大潮,大潮
2/11,205.28,17.22,大潮,大潮,大潮
2/12,219.26,18.22,中潮,中潮,中潮
2/13,233.05,19.22,中潮,中潮,中潮
2/14,246.55,20.22,中潮,中潮,中潮
2/15,259.7,21.22,中潮,小潮,小潮
2/16,272.48,22.22,小潮,小潮,小潮
2/17,284.9,23.22,小潮,小潮,長潮
2/18,296.99,24.22,小潮,長潮,若潮
