月日,黄経差,月齢,こよみ,気象庁,MIRC
4/2,323.93,26.46,若潮,中潮,中潮
4/3,334.88,27.46,中潮,中潮,中潮
4/4,345.97,28.46,中潮,中潮,大潮
4/5,357.23,29.46,大潮,大潮,大潮
4/6,8.68,0.76,大潮,大潮,大潮
4/7,20.31,1.76,大潮,大潮,大潮
4/8,32.14,2.76,大潮,大潮,中潮
4/9,44.15,3.76,中潮,中潮,中潮
4/10,56.35,4.76,中潮,中潮,中潮
4/11,68.76,5.76,中潮,中潮,小潮
4/12,81.39,6.76,中潮,小潮,小潮
4/13,94.27,7.76,小潮,小潮,小潮
4/14,107.39,8.76,小潮,小潮,長潮
4/15,120.76,9.76,小潮,若潮,若潮
4/16,134.34,10.76,長潮,中潮,中潮
4/17,148.04,11.76,若潮,中潮,中潮
4/18,161.77,12.76,中潮,中潮,中潮
4/19,175.39,13.76,中潮,大潮,大潮
4/20,188.78,14.76,大潮,大潮,大潮
4/21,201.84,15.76,大潮,大潮,大潮
4/22,214.49,16.76,大潮,大潮,中潮
4/23,226.72,17.76,大潮,中潮,中潮
4/24,238.53,18.76,中潮,中潮,中潮
4/25,249.99,19.76,中潮,中潮,小潮
4/26,261.16,20.76,中潮,小潮,小潮
4/27,272.14,21.76,中潮,小潮,小潮
4/28,283.0,22.76,小潮,小潮,小潮
4/29,293.84,23.76,小潮,長潮,長潮
4/30,304.75,24.76,小潮,若潮,若潮
5/1,315.79,25.76,長潮,中潮,中潮
5/2,327.02,26.76,若潮,中潮,中潮
5/3,338.48,27.76,中潮,中潮,中潮
5/4,350.18,28.76,中潮,大潮,大潮
5/5,2.13,0.18,大潮,大潮,大潮
5/6,14.31,1.18,大潮,大潮,大潮
5/7,26.7,2.18,大潮,大潮,大潮
5/8,39.27,3.18,中潮,中潮,中潮
5/9,52.0,4.18,中潮,中潮,中潮
5/10,64.87,5.18,中潮,中潮,中潮
5/11,77.87,6.18,中潮,小潮,小潮
5/12,90.99,7.18,小潮,小潮,小潮
5/13,104.21,8.18,小潮,小潮,長潮
5/14,117.51,9.18,小潮,長潮,若潮
5/15,130.84,10.18,長潮,若潮,中潮
5/16,144.13,11.18,若潮,中潮,中潮
5/17,157.32,12.18,中潮,中潮,中潮
5/18,170.32,13.18,中潮,大潮,大潮
5/19,183.06,14.18,大潮,大潮,大潮
5/20,195.48,15.18,大潮,大潮,大潮
5/21,207.56,16.18,大潮,大潮,大潮
5/22,219.31,17.18,大潮,中潮,中潮
5/23,230.75,18.18,中潮,中潮,中潮
5/24,241.94,19.18,中潮,中潮,中潮
5/25,252.95,20.18,中潮,小潮,小潮
5/26,263.85,21.18,中潮,小潮,小潮
5/27,274.74,22.18,小潮,小潮,小潮
5/28,285.69,23.18,小潮,小潮,長潮
5/29,296.79,24.18,小潮,長潮,若潮
5/30,308.11,25.18,長潮,若潮,中潮
5/31,319.69,26.18,若潮,中潮,中潮
6/1,331.57,27.18,中潮,中潮,中潮
6/2,343.78,28.18,中潮,中潮,大潮
6/3,356.28,29.18,大潮,大潮,大潮
6/4,9.06,0.71,大潮,大潮,大潮
6/5,22.06,1.71,大潮,大潮,大潮
6/6,35.22,2.71,大潮,大潮,中潮
6/7,48.48,3.71,中潮,中潮,中潮
6/8,61.79,4.71,中潮,中潮,中潮
6/9,75.09,5.71,中潮,小潮,小潮
6/10,88.35,6.71,中潮,小潮,小潮
6/11,101.54,7.71,小潮,小潮,小潮
6/12,114.62,8.71,小潮,長潮,長潮
6/13,127.55,9.71,小潮,若潮,中潮
6/14,140.31,10.71,長潮,中潮,中潮
6/15,152.87,11.71,若潮,中潮,中潮
6/16,165.19,12.71,中潮,中潮,大潮
6/17,177.26,13.71,中潮,大潮,大潮
6/18,189.08,14.71,大潮,大潮,大潮
6/19,200.64,15.71,大潮,大潮,大潮
6/20,211.97,16.71,大潮,大潮,中潮
6/21,223.11,17.71,大潮,中潮,中潮
6/22,234.1,18.71,中潮,中潮,中潮
6/23,245.02,19.71,中潮,中潮,中潮
6/24,255.92,20.71,中潮,小潮,小潮
6/25,266.88,21.71,中潮,小潮,小潮
6/26,277.99,22.71,小潮,小潮,小潮
6/27,289.32,23.71,小潮,長潮,長潮
6/28,300.93,24.71,小潮,若潮,若潮
6/29,312.88,25.71,長潮,中潮,中潮
6/30,325.2,26.71,若潮,中潮,中潮
7/1,337.91,27.71,中潮,中潮,中潮
7/2,350.97,28.71,中潮,大潮,大潮
7/3,4.33,0.32,大潮,大潮,大潮
7/4,17.92,1.32,大潮,大潮,大潮
7/5,31.62,2.32,大潮,大潮,中潮
7/6,45.34,3.32,中潮,中潮,中潮
7/7,58.97,4.32,中潮,中潮,中潮
7/8,72.44,5.32,中潮,小潮,小潮
7/9,85.69,6.32,中潮,小潮,小潮
7/10,98.68,7.32,小潮,小潮,小潮
7/11,111.39,8.32,小潮,長潮,長潮
7/12,123.84,9.32,小潮,若潮,若潮
7/13,136.02,10.32,長潮,中潮,中潮
7/14,147.97,11.32,若潮,中潮,中潮
7/15,159.68,12.32,中潮,中潮,中潮
7/16,171.19,13.32,中潮,大潮,大潮
7/17,182.52,14.32,大潮,大潮,大潮
7/18,193.68,15.32,大潮,大潮,大潮
7/19,204.72,16.32,大潮,大潮,大潮
7/20,215.67,17.32,大潮,大潮,中潮
7/21,226.56,18.32,中潮,中潮,中潮
7/22,237.46,19.32,中潮,中潮,中潮
7/23,248.43,20.32,中潮,中潮,小潮
7/24,259.52,21.32,中潮,小潮,小潮
7/25,270.81,22.32,小潮,小潮,小潮
7/26,282.37,23.32,小潮,小潮,小潮
7/27,294.28,24.32,小潮,長潮,長潮
7/28,306.57,25.32,長潮,若潮,若潮
7/29,319.3,26.32,若潮,中潮,中潮
7/30,332.46,27.32,中潮,中潮,中潮
7/31,346.02,28.32,中潮,中潮,大潮
8/1,359.88,29.32,大潮,大潮,大潮
8/2,13.94,0.99,大潮,大潮,大潮
8/3,28.05,1.99,大潮,大潮,大潮
8/4,42.05,2.99,大潮,中潮,中潮
8/5,55.81,3.99,中潮,中潮,中潮
8/6,69.25,4.99,中潮,中潮,小潮
8/7,82.3,5.99,中潮,小潮,小潮
8/8,94.96,6.99,中潮,小潮,小潮
8/9,107.24,7.99,小潮,小潮,長潮
8/10,119.19,8.99,小潮,長潮,若潮
8/11,130.86,9.99,小潮,若潮,中潮
8/12,142.29,10.99,長潮,中潮,中潮
8/13,153.55,11.99,若潮,中潮,中潮
8/14,164.66,12.99,中潮,中潮,大潮
8/15,175.67,13.99,中潮,大潮,大潮
8/16,186.61,14.99,大潮,大潮,大潮
8/17,197.51,15.99,大潮,大潮,大潮
8/18,208.4,16.99,大潮,大潮,大潮
8/19,219.31,17.99,大潮,中潮,中潮
8/20,230.29,18.99,中潮,中潮,中潮
8/21,241.39,19.99,中潮,中潮,中潮
8/22,252.66,20.99,中潮,小潮,小潮
8/23,264.17,21.99,中潮,小潮,小潮
8/24,275.98,22.99,小潮,小潮,小潮
8/25,288.17,23.99,小潮,長潮,長潮
8/26,300.78,24.99,小潮,若潮,若潮
8/27,313.84,25.99,長潮,中潮,中潮
8/28,327.36,26.99,若潮,中潮,中潮
8/29,341.27,27.99,中潮,中潮,中潮
8/30,355.46,28.99,中潮,大潮,大潮
8/31,9.78,0.68,大潮,大潮,大潮
9/1,24.03,1.68,大潮,大潮,大潮
9/2,38.06,2.68,大潮,中潮,中潮
9/3,51.71,3.68,中潮,中潮,中潮
9/4,64.92,4.68,中潮,中潮,中潮
9/5,77.64,5.68,中潮,小潮,小潮
9/6,89.91,6.68,中潮,小潮,小潮
9/7,101.78,7.68,小潮,小潮,小潮
9/8,113.31,8.68,小潮,長潮,長潮
9/9,124.58,9.68,小潮,若潮,若潮
9/10,135.67,10.68,長潮,中潮,中潮
9/11,146.64,11.68,若潮,中潮,中潮
9/12,157.54,12.68,中潮,中潮,中潮
9/13,168.41,13.68,中潮,大潮,大潮
9/14,179.3,14.68,大潮,大潮,大潮
9/15,190.22,15.68,大潮,大潮,大潮
9/16,201.2,16.68,大潮,大潮,大潮
9/17,212.27,17.68,大潮,大潮,中潮
9/18,223.44,18.68,中潮,中潮,中潮
9/19,234.77,19.68,中潮,中潮,中潮
9/20,246.3,20.68,中潮,中潮,中潮
9/21,258.07,21.68,中潮,小潮,小潮
9/22,270.16,22.68,小潮,小潮,小潮
9/23,282.62,23.68,小潮,小潮,小潮
9/24,295.5,24.68,小潮,長潮,若潮
9/25,308.81,25.68,長潮,若潮,中潮
9/26,322.52,26.68,若潮,中潮,中潮
9/27,336.57,27.68,中潮,中潮,中潮
9/28,350.81,28.68,中潮,大潮,大潮
9/29,5.08,0.36,大潮,大潮,大潮
9/30,19.18,1.36,大潮,大潮,大潮
10/1,32.95,2.36,大潮,大潮,中潮
10/2,46.28,3.36,中潮,中潮,中潮
10/3,59.11,4.36,中潮,中潮,中潮
10/4,71.45,5.36,中潮,中潮,小潮
10/5,83.34,6.36,中潮,小潮,小潮
10/6,94.86,7.36,小潮,小潮,小潮
10/7,106.09,8.36,小潮,小潮,長潮
10/8,117.11,9.36,小潮,長潮,若潮
10/9,128.01,10.36,長潮,若潮,中潮
10/10,138.86,11.36,若潮,中潮,中潮
10/11,149.72,12.36,中潮,中潮,中潮
10/12,160.63,13.36,中潮,中潮,中潮
10/13,171.62,14.36,大潮,大潮,大潮
10/14,182.73,15.36,大潮,大潮,大潮
10/15,193.95,16.36,大潮,大潮,大潮
10/16,205.31,17.36,大潮,大潮,大潮
10/17,216.82,18.36,中潮,中潮,中潮
10/18,228.5,19.36,中潮,中潮,中潮
10/19,240.38,20.36,中潮,中潮,中潮
10/20,252.51,21.36,中潮,小潮,小潮
10/21,264.92,22.36,小潮,小潮,小潮
10/22,277.65,23.36,小潮,小潮,小潮
10/23,290.73,24.36,小潮,長潮,長潮
10/24,304.14,25.36,長潮,若潮,若潮
10/25,317.85,26.36,若潮,中潮,中潮
10/26,331.76,27.36,中潮,中潮,中潮
10/27,345.74,28.36,中潮,中潮,大潮
10/28,359.63,29.36,大潮,大潮,大潮
10/29,13.28,0.97,大潮,大潮,大潮
10/30,26.57,1.97,大潮,大潮,大潮
10/31,39.42,2.97,大潮,中潮,中潮
11/1,51.81,3.97,中潮,中潮,中潮
11/2,63.76,4.97,中潮,中潮,中潮
11/3,75.33,5.97,中潮,小潮,小潮
11/4,86.59,6.97,中潮,小潮,小潮
11/5,97.62,7.97,小潮,小潮,小潮
11/6,108.52,8.97,小潮,長潮,長潮
11/7,119.36,9.97,小潮,長潮,若潮
11/8,130.22,10.97,長潮,若潮,中潮
11/9,141.17,11.97,若潮,中潮,中潮
11/10,152.25,12.97,中潮,中潮,中潮
11/11,163.49,13.97,中潮,中潮,大潮
11/12,174.91,14.97,大潮,大潮,大潮
11/13,186.52,15.97,大潮,大潮,大潮
11/14,198.32,16.97,大潮,大潮,大潮
11/15,210.31,17.97,大潮,大潮,大潮
11/16,222.48,18.97,中潮,中潮,中潮
11/17,234.85,19.97,中潮,中潮,中潮
11/18,247.41,20.97,中潮,中潮,小潮
11/19,260.18,21.97,中潮,小潮,小潮
11/20,273.17,22.97,小潮,小潮,小潮
11/21,286.35,23.97,小潮,小潮,長潮
11/22,299.71,24.97,小潮,長潮,若潮
11/23,313.18,25.97,長潮,中潮,中潮
11/24,326.69,26.97,若潮,中潮,中潮
11/25,340.13,27.97,中潮,中潮,中潮
11/26,353.41,28.97,中潮,大潮,大潮
11/27,6.42,0.5,大潮,大潮,大潮
11/28,19.09,1.5,大潮,大潮,大潮
11/29,31.4,2.5,大潮,大潮,中潮
11/30,43.33,3.5,中潮,中潮,中潮
12/1,54.92,4.5,中潮,中潮,中潮
12/2,66.22,5.5,中潮,中潮,中潮
12/3,77.28,6.5,中潮,小潮,小潮
12/4,88.2,7.5,小潮,小潮,小潮
12/5,99.06,8.5,小潮,小潮,小潮
12/6,109.93,9.5,小潮,長潮,長潮
12/7,120.89,10.5,長潮,若潮,若潮
12/8,132.0,11.5,若潮,中潮,中潮
12/9,143.33,12.5,中潮,中潮,中潮
12/10,154.91,13.5,中潮,中潮,中潮
12/11,166.76,14.5,大潮,中潮,大潮
12/12,178.87,15.5,大潮,大潮,大潮
12/13,191.25,16.5,大潮,大潮,大潮
12/14,203.85,17.5,大潮,大潮,大潮
12/15,216.64,18.5,中潮,中潮,中潮
12/16,229.58,19.5,中潮,中潮,中潮
12/17,242.64,20.5,中潮,中潮,中潮
12/18,255.76,21.5,中潮,小潮,小潮
12/19,268.93,22.5,小潮,小潮,小潮
12/20,282.1,23.5,小潮,小潮,小潮
12/21,295.23,24.5,小潮,長潮,若潮
12/22,308.28,25.5,長潮,若潮,中潮
12/23,321.22,26.5,若潮,中潮,中潮
12/24,333.99,27.5,中潮,中潮,中潮
12/25,346.55,28.5,中潮,中潮,大潮
12/26,358.87,29.5,大潮,大潮,大潮
12/27,10.93,0.91,大潮,大潮,大潮
12/28,22.71,1.91,大潮,大潮,大潮
12/29,34.22,2.91,大潮,大潮,中潮
12/30,45.49,3.91,中潮,中潮,中潮
12/31,56.56,4.91,中潮,中潮,中潮
