月日,黄経差,月齢,こよみ,気象庁,MIRC
1/1,303.61,24.82,小潮,若潮,若潮
1/2,315.44,25.82,長潮,中潮,中潮
1/3,327.03,26.82,若潮,中潮,中潮
1/4,338.43,27.82,中潮,中潮,中潮
1/5,349.64,28.82,中潮,大潮,大潮
1/6,0.7,0.06,大潮,大潮,大潮
1/7,11.63,1.06,大潮,大潮,大潮
1/8,22.47,2.06,大潮,大潮,大潮
1/9,33.25,3.06,中潮,大潮,中潮
1/10,44.01,4.06,中潮,中潮,中潮
1/11,54.83,5.06,中潮,中潮,中潮
1/12,65.74,6.06,中潮,中潮,中潮
1/13,76.84,7.06,小潮,小潮,小潮
1/14,88.19,8.06,小潮,小潮,小潮
1/15,99.87,9.06,小潮,小潮,小潮
1/16,111.94,10.06,長潮,長潮,長潮
1/17,124.45,11.06,若潮,若潮,若潮
1/18,137.42,12.06,中潮,中潮,中潮
1/19,150.83,13.06,中潮,中潮,中潮
1/20,164.61,14.06,大潮,中潮,大潮
1/21,178.66,15.06,大潮,大潮,大潮
1/22,192.84,16.06,大潮,大潮,大潮
1/23,206.97,17.06,大潮,大潮,大潮
1/24,220.91,18.06,中潮,中潮,中潮
1/25,234.54,19.06,中潮,中潮,中潮
1/26,247.78,20.06,中潮,中潮,小潮
1/27,260.59,21.06,中潮,小潮,小潮
1/28,272.97,22.06,小潮,小潮,小潮
1/29,284.97,23.06,小潮,小潮,長潮
1/30,296.63,24.06,小潮,長潮,若潮
1/31,308.01,25.06,長潮,若潮,中潮
2/1,319.17,26.06,若潮,中潮,中潮
2/2,330.17,27.06,中潮,中潮,中潮
2/3,341.06,28.06,中潮,中潮,中潮
2/4,351.88,29.06,大潮,大潮,大潮
2/5,2.67,0.25,大潮,大潮,大潮
2/6,13.46,1.25,大潮,大潮,大潮
2/7,24.28,2.25,大潮,大潮,大潮
2/8,35.18,3.25,中潮,大潮,中潮
2/9,46.18,4.25,中潮,中潮,中潮
2/10,57.34,5.25,中潮,中潮,中潮
2/11,68.71,6.25,中潮,中潮,小潮
2/12,80.34,7.25,小潮,小潮,小潮
2/13,92.3,8.25,小潮,小潮,小潮
2/14,104.64,9.25,小潮,小潮,長潮
2/15,117.39,10.25,長潮,長潮,若潮
2/16,130.58,11.25,若潮,若潮,中潮
2/17,144.19,12.25,中潮,中潮,中潮
2/18,158.15,13.25,中潮,中潮,中潮
2/19,172.34,14.25,大潮,大潮,大潮
2/20,186.6,15.25,大潮,大潮,大潮
2/21,200.77,16.25,大潮,大潮,大潮
2/22,214.67,17.25,大潮,大潮,中潮
2/23,228.17,18.25,中潮,中潮,中潮
2/24,241.21,19.25,中潮,中潮,中潮
2/25,253.76,20.25,中潮,小潮,小潮
2/26,265.84,21.25,中潮,小潮,小潮
2/27,277.51,22.25,小潮,小潮,小潮
2/28,288.85,23.25,小潮,長潮,長潮
3/1,299.93,24.25,小潮,長潮,若潮
3/2,310.84,25.25,長潮,若潮,中潮
3/3,321.64,26.25,若潮,中潮,中潮
3/4,332.42,27.25,中潮,中潮,中潮
3/5,343.21,28.25,中潮,中潮,大潮
3/6,354.06,29.25,大潮,大潮,大潮
3/7,5.0,0.46,大潮,大潮,大潮
3/8,16.05,1.46,大潮,大潮,大潮
3/9,27.24,2.46,大潮,大潮,大潮
3/10,38.59,3.46,中潮,中潮,中潮
3/11,50.12,4.46,中潮,中潮,中潮
3/12,61.86,5.46,中潮,中潮,中潮
3/13,73.85,6.46,中潮,小潮,小潮
3/14,86.12,7.46,小潮,小潮,小潮
3/15,98.73,8.46,小潮,小潮,小潮
3/16,111.69,9.46,小潮,長潮,長潮
3/17,125.01,10.46,長潮,若潮,若潮
3/18,138.67,11.46,若潮,中潮,中潮
3/19,152.6,12.46,中潮,中潮,中潮
3/20,166.68,13.46,中潮,中潮,大潮
3/21,180.75,14.46,大潮,大潮,大潮
3/22,194.66,15.46,大潮,大潮,大潮
3/23,208.24,16.46,大潮,大潮,大潮
3/24,221.41,17.46,大潮,中潮,中潮
3/25,234.09,18.46,中潮,中潮,中潮
3/26,246.3,19.46,中潮,中潮,中潮
3/27,258.06,20.46,中潮,小潮,小潮
3/28,269.46,21.46,中潮,小潮,小潮
3/29,280.57,22.46,小潮,小潮,小潮
3/30,291.49,23.46,小潮,長潮,長潮
3/31,302.3,24.46,小潮,若潮,若潮
4/1,313.09,25.46,長潮,中潮,中潮
