,Unnamed: 0,月日,黄経差,月齢,こよみ,気象庁,MIRC
0,0,1/1,258.07,20.69,中潮,小潮,小潮
1,1,1/2,268.87,21.69,中潮,小潮,小潮
2,2,1/3,279.65,22.69,小潮,小潮,小潮
3,3,1/4,290.51,23.69,小潮,長潮,長潮
4,4,1/5,301.52,24.69,小潮,若潮,若潮
5,5,1/6,312.76,25.69,長潮,中潮,中潮
6,6,1/7,324.29,26.69,若潮,中潮,中潮
7,7,1/8,336.14,27.69,中潮,中潮,中潮
8,8,1/9,348.31,28.69,中潮,大潮,大潮
9,9,1/10,0.78,0.06,大潮,大潮,大潮
10,10,1/11,13.51,1.06,大潮,大潮,大潮
11,11,1/12,26.44,2.06,大潮,大潮,大潮
12,12,1/13,39.49,3.06,中潮,中潮,中潮
13,13,1/14,52.6,4.06,中潮,中潮,中潮
14,14,1/15,65.73,5.06,中潮,中潮,中潮
15,15,1/16,78.85,6.06,中潮,小潮,小潮
16,16,1/17,91.94,7.06,小潮,小潮,小潮
17,17,1/18,104.97,8.06,小潮,小潮,長潮
18,18,1/19,117.94,9.06,小潮,長潮,若潮
19,19,1/20,130.81,10.06,長潮,若潮,中潮
20,20,1/21,143.56,11.06,若潮,中潮,中潮
21,21,1/22,156.14,12.06,中潮,中潮,中潮
22,22,1/23,168.5,13.06,中潮,大潮,大潮
23,23,1/24,180.62,14.06,大潮,大潮,大潮
24,24,1/25,192.46,15.06,大潮,大潮,大潮
25,25,1/26,204.03,16.06,大潮,大潮,大潮
26,26,1/27,215.34,17.06,大潮,大潮,中潮
27,27,1/28,226.42,18.06,中潮,中潮,中潮
28,28,1/29,237.33,19.06,中潮,中潮,中潮
29,29,1/30,248.14,20.06,中潮,中潮,小潮
30,30,1/31,258.93,21.06,中潮,小潮,小潮
31,31,2/1,269.79,22.06,小潮,小潮,小潮
32,32,2/2,280.8,23.06,小潮,小潮,小潮
33,33,2/3,292.04,24.06,小潮,長潮,長潮
34,34,2/4,303.59,25.06,長潮,若潮,若潮
35,35,2/5,315.51,26.06,若潮,中潮,中潮
36,36,2/6,327.82,27.06,中潮,中潮,中潮
37,37,2/7,340.51,28.06,中潮,中潮,中潮
38,38,2/8,353.56,29.06,大潮,大潮,大潮
39,39,2/9,6.89,0.51,大潮,大潮,大潮
40,40,2/10,20.4,1.51,大潮,大潮,大潮
41,41,2/11,33.99,2.51,大潮,大潮,中潮
42,42,2/12,47.56,3.51,中潮,中潮,中潮
43,43,2/13,61.02,4.51,中潮,中潮,中潮
44,44,2/14,74.32,5.51,中潮,小潮,小潮
45,45,2/15,87.42,6.51,中潮,小潮,小潮
46,46,2/16,100.29,7.51,小潮,小潮,小潮
47,47,2/17,112.93,8.51,小潮,長潮,長潮
48,48,2/18,125.34,9.51,小潮,若潮,若潮
49,49,2/19,137.52,10.51,長潮,中潮,中潮
50,50,2/20,149.48,11.51,若潮,中潮,中潮
51,51,2/21,161.22,12.51,中潮,中潮,中潮
52,52,2/22,172.74,13.51,中潮,大潮,大潮
53,53,2/23,184.07,14.51,大潮,大潮,大潮
54,54,2/24,195.22,15.51,大潮,大潮,大潮
55,55,2/25,206.21,16.51,大潮,大潮,大潮
56,56,2/26,217.09,17.51,大潮,中潮,中潮
57,57,2/27,227.91,18.51,中潮,中潮,中潮
58,58,2/28,238.71,19.51,中潮,中潮,中潮
59,59,2/29,249.58,20.51,中潮,中潮,小潮
60,60,3/1,260.59,21.51,中潮,小潮,小潮
61,61,3/2,271.8,22.51,小潮,小潮,小潮
62,62,3/3,283.31,23.51,小潮,小潮,長潮
63,63,3/4,295.17,24.51,小潮,長潮,若潮
64,64,3/5,307.45,25.51,長潮,若潮,中潮
65,65,3/6,320.16,26.51,若潮,中潮,中潮
66,66,3/7,333.3,27.51,中潮,中潮,中潮
67,67,3/8,346.82,28.51,中潮,中潮,大潮
68,68,3/9,0.63,0.05,大潮,大潮,大潮
69,69,3/10,14.62,1.05,大潮,大潮,大潮
70,70,3/11,28.62,2.05,大潮,大潮,大潮
71,71,3/12,42.52,3.05,中潮,中潮,中潮
72,72,3/13,56.2,4.05,中潮,中潮,中潮
73,73,3/14,69.56,5.05,中潮,中潮,小潮
74,74,3/15,82.56,6.05,中潮,小潮,小潮
75,75,3/16,95.19,7.05,小潮,小潮,小潮
76,76,3/17,107.48,8.05,小潮,小潮,長潮
77,77,3/18,119.44,9.05,小潮,長潮,若潮
78,78,3/19,131.12,10.05,長潮,若潮,中潮
79,79,3/20,142.57,11.05,若潮,中潮,中潮
80,80,3/21,153.82,12.05,中潮,中潮,中潮
81,81,3/22,164.92,13.05,中潮,中潮,大潮
82,82,3/23,175.9,14.05,大潮,大潮,大潮
83,83,3/24,186.8,15.05,大潮,大潮,大潮
84,84,3/25,197.64,16.05,大潮,大潮,大潮
85,85,3/26,208.47,17.05,大潮,大潮,大潮
86,86,3/27,219.33,18.05,中潮,中潮,中潮
87,87,3/28,230.25,19.05,中潮,中潮,中潮
88,88,3/29,241.3,20.05,中潮,中潮,中潮
89,89,3/30,252.53,21.05,中潮,小潮,小潮
90,90,3/31,264.01,22.05,小潮,小潮,小潮
91,91,4/1,275.8,23.05,小潮,小潮,小潮
92,92,4/2,287.96,24.05,小潮,小潮,長潮
93,93,4/3,300.55,25.05,長潮,若潮,若潮
94,94,4/4,313.58,26.05,若潮,中潮,中潮
95,95,4/5,327.05,27.05,中潮,中潮,中潮
96,96,4/6,340.9,28.05,中潮,中潮,中潮
97,97,4/7,355.02,29.05,大潮,大潮,大潮
98,98,4/8,9.27,0.65,大潮,大潮,大潮
99,99,4/9,23.48,1.65,大潮,大潮,大潮
100,100,4/10,37.48,2.65,大潮,中潮,中潮
101,101,4/11,51.15,3.65,中潮,中潮,中潮
102,102,4/12,64.39,4.65,中潮,中潮,中潮
103,103,4/13,77.17,5.65,中潮,小潮,小潮
104,104,4/14,89.5,6.65,中潮,小潮,小潮
105,105,4/15,101.42,7.65,小潮,小潮,小潮
106,106,4/16,113.0,8.65,小潮,長潮,長潮
107,107,4/17,124.3,9.65,小潮,若潮,若潮
108,108,4/18,135.4,10.65,長潮,中潮,中潮
109,109,4/19,146.36,11.65,若潮,中潮,中潮
110,110,4/20,157.23,12.65,中潮,中潮,中潮
111,111,4/21,168.07,13.65,中潮,大潮,大潮
112,112,4/22,178.92,14.65,大潮,大潮,大潮
113,113,4/23,189.8,15.65,大潮,大潮,大潮
114,114,4/24,200.75,16.65,大潮,大潮,大潮
115,115,4/25,211.8,17.65,大潮,大潮,中潮
116,116,4/26,222.97,18.65,中潮,中潮,中潮
117,117,4/27,234.31,19.65,中潮,中潮,中潮
118,118,4/28,245.85,20.65,中潮,中潮,中潮
119,119,4/29,257.65,21.65,中潮,小潮,小潮
120,120,4/30,269.76,22.65,小潮,小潮,小潮
121,121,5/1,282.22,23.65,小潮,小潮,小潮
122,122,5/2,295.08,24.65,小潮,長潮,若潮
123,123,5/3,308.35,25.65,長潮,若潮,中潮
124,124,5/4,322.02,26.65,若潮,中潮,中潮
125,125,5/5,336.01,27.65,中潮,中潮,中潮
126,126,5/6,350.21,28.65,中潮,大潮,大潮
127,127,5/7,4.45,0.31,大潮,大潮,大潮
128,128,5/8,18.57,1.31,大潮,大潮,大潮
129,129,5/9,32.39,2.31,大潮,大潮,中潮
130,130,5/10,45.81,3.31,中潮,中潮,中潮
131,131,5/11,58.74,4.31,中潮,中潮,中潮
132,132,5/12,71.19,5.31,中潮,中潮,小潮
133,133,5/13,83.18,6.31,中潮,小潮,小潮
134,134,5/14,94.77,7.31,小潮,小潮,小潮
135,135,5/15,106.05,8.31,小潮,小潮,長潮
136,136,5/16,117.11,9.31,小潮,長潮,若潮
137,137,5/17,128.02,10.31,長潮,若潮,中潮
