,Unnamed: 0,月日,黄経差,月齢,こよみ,気象庁,MIRC
0,0,1/1,131.91,10.06,長潮,若潮,中潮
1,1,1/2,143.97,11.06,若潮,中潮,中潮
2,2,1/3,155.86,12.06,中潮,中潮,中潮
3,3,1/4,167.57,13.06,中潮,中潮,大潮
4,4,1/5,179.1,14.06,大潮,大潮,大潮
5,5,1/6,190.44,15.06,大潮,大潮,大潮
6,6,1/7,201.61,16.06,大潮,大潮,大潮
7,7,1/8,212.61,17.06,大潮,大潮,中潮
8,8,1/9,223.48,18.06,中潮,中潮,中潮
9,9,1/10,234.28,19.06,中潮,中潮,中潮
10,10,1/11,245.05,20.06,中潮,中潮,中潮
11,11,1/12,255.88,21.06,中潮,小潮,小潮
12,12,1/13,266.86,22.06,小潮,小潮,小潮
13,13,1/14,278.08,23.06,小潮,小潮,小潮
14,14,1/15,289.63,24.06,小潮,長潮,長潮
15,15,1/16,301.59,25.06,長潮,若潮,若潮
16,16,1/17,314.02,26.06,若潮,中潮,中潮
17,17,1/18,326.93,27.06,中潮,中潮,中潮
18,18,1/19,340.31,28.06,中潮,中潮,中潮
19,19,1/20,354.06,29.06,大潮,大潮,大潮
20,20,1/21,8.05,0.57,大潮,大潮,大潮
21,21,1/22,22.11,1.57,大潮,大潮,大潮
22,22,1/23,36.09,2.57,大潮,中潮,中潮
23,23,1/24,49.84,3.57,中潮,中潮,中潮
24,24,1/25,63.27,4.57,中潮,中潮,中潮
25,25,1/26,76.34,5.57,中潮,小潮,小潮
26,26,1/27,89.06,6.57,中潮,小潮,小潮
27,27,1/28,101.43,7.57,小潮,小潮,小潮
28,28,1/29,113.51,8.57,小潮,長潮,長潮
29,29,1/30,125.33,9.57,小潮,若潮,若潮
30,30,1/31,136.94,10.57,長潮,中潮,中潮
31,31,2/1,148.36,11.57,若潮,中潮,中潮
32,32,2/2,159.63,12.57,中潮,中潮,中潮
33,33,2/3,170.75,13.57,中潮,大潮,大潮
34,34,2/4,181.76,14.57,大潮,大潮,大潮
35,35,2/5,192.66,15.57,大潮,大潮,大潮
36,36,2/6,203.49,16.57,大潮,大潮,大潮
37,37,2/7,214.27,17.57,大潮,大潮,中潮
38,38,2/8,225.06,18.57,中潮,中潮,中潮
39,39,2/9,235.91,19.57,中潮,中潮,中潮
40,40,2/10,246.9,20.57,中潮,中潮,中潮
41,41,2/11,258.1,21.57,中潮,小潮,小潮
42,42,2/12,269.6,22.57,小潮,小潮,小潮
43,43,2/13,281.47,23.57,小潮,小潮,小潮
44,44,2/14,293.79,24.57,小潮,長潮,長潮
45,45,2/15,306.59,25.57,長潮,若潮,若潮
46,46,2/16,319.88,26.57,若潮,中潮,中潮
47,47,2/17,333.61,27.57,中潮,中潮,中潮
48,48,2/18,347.67,28.57,中潮,中潮,大潮
49,49,2/19,1.91,0.13,大潮,大潮,大潮
50,50,2/20,16.14,1.13,大潮,大潮,大潮
51,51,2/21,30.21,2.13,大潮,大潮,大潮
52,52,2/22,43.97,3.13,中潮,中潮,中潮
53,53,2/23,57.33,4.13,中潮,中潮,中潮
54,54,2/24,70.26,5.13,中潮,中潮,小潮
55,55,2/25,82.77,6.13,中潮,小潮,小潮
56,56,2/26,94.89,7.13,小潮,小潮,小潮
57,57,2/27,106.66,8.13,小潮,小潮,長潮
58,58,2/28,118.15,9.13,小潮,長潮,若潮
59,59,3/1,129.42,10.13,長潮,若潮,中潮
60,60,3/2,140.52,11.13,若潮,中潮,中潮
61,61,3/3,151.49,12.13,中潮,中潮,中潮
62,62,3/4,162.37,13.13,中潮,中潮,中潮
63,63,3/5,173.2,14.13,大潮,大潮,大潮
64,64,3/6,184.01,15.13,大潮,大潮,大潮
65,65,3/7,194.84,16.13,大潮,大潮,大潮
66,66,3/8,205.72,17.13,大潮,大潮,大潮
67,67,3/9,216.68,18.13,中潮,中潮,中潮
68,68,3/10,227.79,19.13,中潮,中潮,中潮
69,69,3/11,239.08,20.13,中潮,中潮,中潮
70,70,3/12,250.64,21.13,中潮,中潮,小潮
71,71,3/13,262.5,22.13,小潮,小潮,小潮
72,72,3/14,274.74,23.13,小潮,小潮,小潮
