月日,黄経差,月齢,こよみ,気象庁,MIRC
1/1,32.55,2.84,大潮,大潮,中潮
1/2,44.35,3.84,中潮,中潮,中潮
1/3,56.35,4.84,中潮,中潮,中潮
1/4,68.59,5.84,中潮,中潮,小潮
1/5,81.09,6.84,中潮,小潮,小潮
1/6,93.88,7.84,小潮,小潮,小潮
1/7,106.97,8.84,小潮,小潮,長潮
1/8,120.35,9.84,小潮,若潮,若潮
1/9,133.96,10.84,長潮,中潮,中潮
1/10,147.72,11.84,若潮,中潮,中潮
1/11,161.5,12.84,中潮,中潮,中潮
1/12,175.17,13.84,中潮,大潮,大潮
1/13,188.6,14.84,大潮,大潮,大潮
1/14,201.68,15.84,大潮,大潮,大潮
1/15,214.36,16.84,大潮,大潮,中潮
1/16,226.62,17.84,大潮,中潮,中潮
1/17,238.47,18.84,中潮,中潮,中潮
1/18,249.96,19.84,中潮,中潮,小潮
1/19,261.17,20.84,中潮,小潮,小潮
1/20,272.18,21.84,中潮,小潮,小潮
1/21,283.06,22.84,小潮,小潮,長潮
1/22,293.89,23.84,小潮,長潮,長潮
1/23,304.77,24.84,小潮,若潮,若潮
1/24,315.73,25.84,長潮,中潮,中潮
1/25,326.85,26.84,若潮,中潮,中潮
1/26,338.16,27.84,中潮,中潮,中潮
1/27,349.68,28.84,中潮,大潮,大潮
1/28,1.42,0.12,大潮,大潮,大潮
1/29,13.39,1.12,大潮,大潮,大潮
1/30,25.57,2.12,大潮,大潮,大潮
1/31,37.96,3.12,中潮,中潮,中潮
2/1,50.54,4.12,中潮,中潮,中潮
2/2,63.29,5.12,中潮,中潮,中潮
2/3,76.21,6.12,中潮,小潮,小潮
2/4,89.28,7.12,小潮,小潮,小潮
2/5,102.47,8.12,小潮,小潮,小潮
2/6,115.75,9.12,小潮,長潮,若潮
2/7,129.06,10.12,長潮,若潮,中潮
2/8,142.35,11.12,若潮,中潮,中潮
2/9,155.53,12.12,中潮,中潮,中潮
2/10,168.53,13.12,中潮,大潮,大潮
2/11,181.29,14.12,大潮,大潮,大潮
2/12,193.76,15.12,大潮,大潮,大潮
2/13,205.9,16.12,大潮,大潮,大潮
2/14,217.73,17.12,大潮,中潮,中潮
2/15,229.25,18.12,中潮,中潮,中潮
2/16,240.51,19.12,中潮,中潮,中潮
2/17,251.57,20.12,中潮,中潮,小潮
2/18,262.5,21.12,中潮,小潮,小潮
2/19,273.37,22.12,小潮,小潮,小潮
2/20,284.26,23.12,小潮,小潮,長潮
2/21,295.25,24.12,小潮,長潮,若潮
2/22,306.41,25.12,長潮,若潮,若潮
2/23,317.81,26.12,若潮,中潮,中潮
2/24,329.48,27.12,中潮,中潮,中潮
2/25,341.46,28.12,中潮,中潮,中潮
2/26,353.75,29.12,大潮,大潮,大潮
2/27,6.35,0.5,大潮,大潮,大潮
2/28,19.21,1.5,大潮,大潮,大潮
3/1,32.27,2.5,大潮,大潮,中潮
3/2,45.48,3.5,中潮,中潮,中潮
3/3,58.77,4.5,中潮,中潮,中潮
3/4,72.06,5.5,中潮,小潮,小潮
3/5,85.31,6.5,中潮,小潮,小潮
3/6,98.46,7.5,小潮,小潮,小潮
3/7,111.5,8.5,小潮,長潮,長潮
